Random seed, 39, training time, 676.4919593334198
Random seed, 26, training time, 819.8155841827393
Random seed, 12, training time, 902.7984490394592
Random seed, 28, training time, 1151.6459271907806
Random seed, 1, training time, 1276.5461478233337
Random seed, 10, training time, 1331.0357151031494
Random seed, 9, training time, 1343.199583530426
Random seed, 19, training time, 1327.3163886070251
Random seed, 16, training time, 1369.5908544063568
Random seed, 46, training time, 1416.574594259262
Random seed, 17, training time, 1387.3172116279602
Random seed, 47, training time, 1416.401945590973
Random seed, 7, training time, 1421.8964009284973
Random seed, 43, training time, 1438.9660913944244
Random seed, 24, training time, 1443.731633901596
Random seed, 5, training time, 1446.5857293605804
Random seed, 37, training time, 1452.229966878891
Random seed, 13, training time, 1509.9541325569153
Random seed, 30, training time, 1512.7672564983368
Random seed, 34, training time, 1519.0011575222015
Random seed, 6, training time, 1517.202802658081
Random seed, 20, training time, 1577.2476377487183
Random seed, 35, training time, 1576.2684407234192
Random seed, 50, training time, 1594.2132666110992
Random seed, 36, training time, 1592.808019399643
Random seed, 23, training time, 1654.3192083835602
Random seed, 2, training time, 1660.2227499485016
Random seed, 48, training time, 1654.8404893875122
Random seed, 14, training time, 1769.0264942646027
Random seed, 38, training time, 1752.773770570755
Random seed, 27, training time, 1878.8901135921478
Random seed, 40, training time, 1906.1170988082886
Random seed, 31, training time, 1893.2028625011444
Random seed, 8, training time, 1893.158179283142
Random seed, 3, training time, 1924.4846470355988
Random seed, 44, training time, 1985.1942727565765
Random seed, 32, training time, 2001.1357352733612
Random seed, 41, training time, 2024.3040323257446
Random seed, 18, training time, 2019.0260882377625
Random seed, 4, training time, 2063.7641632556915
Random seed, 42, training time, 2049.939548969269
Random seed, 21, training time, 2113.5919318199158
Random seed, 25, training time, 2118.029531955719
Random seed, 45, training time, 2133.8336470127106
Random seed, 29, training time, 2219.58256983757
Random seed, 49, training time, 2215.2632060050964
Random seed, 11, training time, 2300.750264644623
Random seed, 33, training time, 2330.7472383975983
Random seed, 15, training time, 2460.0873193740845
Random seed, 22, training time, 3437.7088356018066
