Epoch, 5
Random seed, 0, forward time, 2.5191738605499268, qp time, 3.6716461181640625e-05, backward_time, 3.756420373916626
forward time,0,0,0.5044832229614258,0.48618435859680176,0.4986855983734131,0.5036511421203613,0.5261695384979248
qp time,0,0,6.67572021484375e-06,5.4836273193359375e-06,6.4373016357421875e-06,9.298324584960938e-06,8.821487426757812e-06
backward time,0,0,0.7921268939971924,0.7082216739654541,0.7236549854278564,0.7491419315338135,0.7832748889923096
