Epoch, 7
Random seed, 0, forward time, 630.4592139720917, inference time, 0, qp time, 0, backward_time, 1022.554830789566
forward time,0,0,90.17960357666016,90.44212770462036,90.15891742706299,89.8024365901947,90.01191711425781,89.72725558280945,90.1369559764862
inference time,0,0,0,0,0,0,0,0,0
qp time,0,0,0,0,0,0,0,0,0
backward time,0,0,146.0912082195282,146.77819061279297,146.31103587150574,146.18064045906067,146.01235032081604,145.55737018585205,145.62403512001038
