Epoch, 6
Random seed, 0, forward time, 6561.984821796417, qp time, 38466.33035945892, backward_time, 6736.033134937286
forward time,0,0,1102.533343553543,1099.4785203933716,1098.604513168335,1088.8363101482391,1085.9087851047516,1086.6233494281769
qp time,0,0,6399.279640197754,6415.3908796310425,6434.642711162567,6371.860958099365,6444.840173482895,6400.3159968853
backward time,0,0,1114.101273059845,1134.6859879493713,1129.404391527176,1095.2912611961365,1138.4475450515747,1124.102676153183
