Epoch, 8
Random seed, 0, forward time, 180.30027031898499, inference time, 825.8631980419159, qp time, 162.9520983695984, backward_time, 357.94548058509827
forward time,0,0,22.553062677383423,22.597097635269165,22.744365453720093,22.60872745513916,22.431198835372925,22.401142597198486,22.435338973999023,22.52933669090271
inference time,0,0,144.1035397052765,112.32521057128906,87.7336745262146,90.3363950252533,92.8324089050293,83.7477674484253,102.05915093421936,112.7250509262085
qp time,0,0,15.795283794403076,18.612173557281494,22.977144241333008,23.3940749168396,22.984904766082764,19.7447292804718,21.554589986801147,17.889197826385498
backward time,0,0,43.907132625579834,43.91925621032715,47.2501802444458,46.36486268043518,45.82389855384827,43.577622175216675,44.937737703323364,42.164790391922
