Random seed, 0, forward time, 10.858029842376709, qp time, 0.0006399154663085938, backward_time, 37.59719204902649
forward time,0,1.5495102405548096,1.5451200008392334,1.5285565853118896,1.5649056434631348,1.5640995502471924,1.5610449314117432,1.544792890548706
qp time,0,9.036064147949219e-05,9.298324584960938e-05,8.893013000488281e-05,9.250640869140625e-05,9.036064147949219e-05,9.489059448242188e-05,8.988380432128906e-05
backward time,0,5.360993385314941,5.40283989906311,5.345852613449097,5.32647442817688,5.388538360595703,5.341249227523804,5.431244134902954
