Epoch, 8
Random seed, 0, forward time, 703.9355490207672, inference time, 0, qp time, 0, backward_time, 1026.6846814155579
forward time,0,0,88.064120054245,87.78605031967163,87.64214539527893,87.11539196968079,86.78378367424011,87.00754165649414,89.14332604408264,90.39318990707397
inference time,0,0,0,0,0,0,0,0,0,0
qp time,0,0,0,0,0,0,0,0,0,0
backward time,0,0,127.77356243133545,127.78981828689575,127.62956833839417,125.73591637611389,125.35492515563965,125.75092458724976,132.53074049949646,134.11922574043274
