n,two-stage,surrogate-decision-focused
20,-2.5250540423606123,-2.525054081529379
30,-2.728962190342801,-2.728962194334183
40,-3.550782557896205,-3.5507825798221995
50,-3.9559698511447223,-3.9559698696647376
60,-4.161916421992439,-4.161916450943266
80,-4.8856480853898185,-4.885648108380181
100,-5.075032785960606,-5.0750328677041185
120,-5.280498133386885,-5.280498154674257
