Random seed, 11, forward time, 134.22040581703186, qp time, 1027.550019979477, backward_time, 10.46716833114624
Random seed, 8, forward time, 181.77086234092712, qp time, 1747.1306014060974, backward_time, 15.479262590408325
Random seed, 10, forward time, 133.22782802581787, qp time, 1913.990697145462, backward_time, 15.259051084518433
Random seed, 7, forward time, 208.4708867073059, qp time, 2136.247396707535, backward_time, 20.353043794631958
Random seed, 28, forward time, 152.88762259483337, qp time, 1343.7203946113586, backward_time, 14.614219903945923
Random seed, 12, forward time, 163.10049986839294, qp time, 2222.1919960975647, backward_time, 18.042919635772705
Random seed, 22, forward time, 187.50601196289062, qp time, 1936.4610178470612, backward_time, 16.765686511993408
Random seed, 14, forward time, 328.5149426460266, qp time, 2646.5521972179413, backward_time, 28.61967921257019
Random seed, 4, forward time, 296.2898235321045, qp time, 3157.9122178554535, backward_time, 30.01753830909729
Random seed, 18, forward time, 324.5525634288788, qp time, 3260.01274561882, backward_time, 28.72106957435608
Random seed, 24, forward time, 468.50894474983215, qp time, 3275.9365870952606, backward_time, 34.37434363365173
Random seed, 21, forward time, 333.6307291984558, qp time, 3643.701419353485, backward_time, 32.313425064086914
Random seed, 5, forward time, 421.20855045318604, qp time, 4246.491708755493, backward_time, 38.556374073028564
Random seed, 15, forward time, 555.8154635429382, qp time, 3721.1569967269897, backward_time, 41.08986949920654
Random seed, 29, forward time, 299.8735911846161, qp time, 3583.937607049942, backward_time, 33.13165903091431
Random seed, 26, forward time, 417.5553340911865, qp time, 3599.0514051914215, backward_time, 35.99153208732605
Random seed, 16, forward time, 401.49082112312317, qp time, 4005.155272245407, backward_time, 38.603447675704956
Random seed, 3, forward time, 612.7938685417175, qp time, 4702.655994415283, backward_time, 52.84374785423279
Random seed, 1, forward time, 587.2215940952301, qp time, 5089.430761575699, backward_time, 46.4067599773407
Random seed, 17, forward time, 465.172119140625, qp time, 4942.256460189819, backward_time, 46.44321846961975
Random seed, 13, forward time, 539.6797504425049, qp time, 6196.30002784729, backward_time, 58.61785173416138
Random seed, 30, forward time, 522.6865358352661, qp time, 5752.8674240112305, backward_time, 49.41016888618469
Random seed, 23, forward time, 628.001505613327, qp time, 6429.060923337936, backward_time, 58.4201123714447
Random seed, 9, forward time, 813.561755657196, qp time, 6986.417008638382, backward_time, 70.94719886779785
Random seed, 27, forward time, 720.1762313842773, qp time, 6439.979800701141, backward_time, 66.85280776023865
Random seed, 6, forward time, 985.5309956073761, qp time, 7360.6658046245575, backward_time, 75.45543789863586
Random seed, 20, forward time, 691.7001574039459, qp time, 7364.156704902649, backward_time, 71.5479748249054
Random seed, 25, forward time, 752.864198923111, qp time, 7927.82882642746, backward_time, 76.89674234390259
Random seed, 2, forward time, 1196.3171021938324, qp time, 12726.49677658081, backward_time, 121.3602385520935
Random seed, 19, forward time, 1059.0247473716736, qp time, 13624.156128883362, backward_time, 111.05057764053345
