n,two-stage,decision-focused,surrogate
20,20.43584246,92.16260382,56.17765191
30,29.67435730,150.90735216,69.18106003
40,43.06437440,237.64573838,86.43303987
50,62.95852686,354.03241827,106.54985435
60,89.93643679,513.56579681,135.58116663
80,140.45416002,933.34390200,194.98075956
100,191.83447154,1484.77258198,267.19847761
120,266.41035145,2232.85375829,355.27163427
150,420.08077587,3562.06485705,560.86529371
200,712.50291760,6466.05537025,952.08832738
250,1394.11745093,11495.03221150,1541.51998312
