n,two-stage,decision-focused,surrogate
20,0.00024253,0.00282394,0.00059777,0.03028573
30,0.00217950,0.00331055,0.00096367,0.03787633
40,0.00005223,0.00326118,0.00084772,0.04490283
50,-0.00666583,0.00373851,0.00071281,0.04951916
60,-0.00156635,0.00286230,0.00044135,0.05375575
80,0.00879769,-0.00186281,0.00077633,0.05651791
100,0.00403813,-0.00063142,0.00064111,0.06141918
120,-0.00064498,0.00789336,0.00068352,0.06463565
150,0.00497298,-0.00168721,0.00054218,0.06846896
200,0.01498024,0.00423281,0.00037728,0.07223013
