n,two-stage,decision-focused,surrogate
20,0.00228826,0.00254376,0.00228057
30,0.00173988,0.00165384,0.00174953
40,0.00531833,0.00158143,0.00153825
50,0.00376396,0.00154648,0.00143710
60,0.00342954,0.00138001,0.00139883
80,0.00306119,0.00131390,0.00122859
100,0.00289082,0.00098187,0.00097292
120,0.00292708,0.00101831,0.00084642
150,0.00235190,0.00097878,0.00092003
200,0.00392490,0.00098895,0.00107436
250,0.00286153,0.00087083,0.00098240
