Random seed, 1, forward time, 136.4993875026703, qp time, 9.153020143508911, backward_time, 9.216768741607666
Random seed, 7, forward time, 80.4879834651947, qp time, 5.323544025421143, backward_time, 3.137768268585205
Random seed, 3, forward time, 202.65383672714233, qp time, 10.962443828582764, backward_time, 11.647080183029175
Random seed, 4, forward time, 170.58934235572815, qp time, 7.815267324447632, backward_time, 4.503516912460327
Random seed, 10, forward time, 68.93323945999146, qp time, 4.135914325714111, backward_time, 3.363799810409546
Random seed, 9, forward time, 144.84784650802612, qp time, 8.913246154785156, backward_time, 9.112576961517334
Random seed, 8, forward time, 220.56856966018677, qp time, 17.15254783630371, backward_time, 12.027493000030518
Random seed, 11, forward time, 131.35890865325928, qp time, 13.16992998123169, backward_time, 13.595634460449219
Random seed, 6, forward time, 373.8948976993561, qp time, 18.062446117401123, backward_time, 13.495995998382568
Random seed, 5, forward time, 499.34400963783264, qp time, 26.797304391860962, backward_time, 18.120150089263916
Random seed, 12, forward time, 342.858172416687, qp time, 16.56548047065735, backward_time, 9.826870441436768
Random seed, 2, forward time, 669.9011058807373, qp time, 30.144157886505127, backward_time, 32.46343946456909
Random seed, 13, forward time, 41.26246929168701, qp time, 5.0921103954315186, backward_time, 5.34278678894043
Random seed, 14, forward time, 133.7313632965088, qp time, 7.039368391036987, backward_time, 4.346035480499268
Random seed, 16, forward time, 137.16040635108948, qp time, 8.102362394332886, backward_time, 5.975905656814575
Random seed, 15, forward time, 245.6574490070343, qp time, 16.309295892715454, backward_time, 19.172457695007324
Random seed, 18, forward time, 223.27753949165344, qp time, 11.594022274017334, backward_time, 13.235198736190796
Random seed, 20, forward time, 72.62003350257874, qp time, 5.790635347366333, backward_time, 7.359264850616455
Random seed, 17, forward time, 217.72738313674927, qp time, 20.330477952957153, backward_time, 15.390406131744385
Random seed, 21, forward time, 139.99091625213623, qp time, 7.9788408279418945, backward_time, 7.074398517608643
Random seed, 22, forward time, 159.19920706748962, qp time, 10.835796356201172, backward_time, 8.885128259658813
Random seed, 23, forward time, 189.16342568397522, qp time, 10.740784645080566, backward_time, 8.479399681091309
Random seed, 19, forward time, 481.9837136268616, qp time, 25.31227397918701, backward_time, 15.998964786529541
Random seed, 24, forward time, 125.8020031452179, qp time, 7.647876977920532, backward_time, 7.639501094818115
Random seed, 25, forward time, 117.69715666770935, qp time, 8.256127119064331, backward_time, 13.04897928237915
Random seed, 27, forward time, 105.9481430053711, qp time, 6.586022138595581, backward_time, 5.101242780685425
Random seed, 28, forward time, 109.36280226707458, qp time, 5.726295471191406, backward_time, 5.931339979171753
Random seed, 26, forward time, 165.48278069496155, qp time, 8.041313648223877, backward_time, 9.18256950378418
Random seed, 29, forward time, 128.9854941368103, qp time, 6.101983308792114, backward_time, 6.716445684432983
Random seed, 30, forward time, 349.90859270095825, qp time, 22.403996229171753, backward_time, 16.62959098815918
