Random seed, 10, forward time, 4.193273544311523, inference time, 626.6604874134064, qp time, 71.75306916236877, backward_time, 11.086890935897827, epoch, 6
Random seed, 19, forward time, 5.272194862365723, inference time, 579.382969379425, qp time, 72.33720064163208, backward_time, 13.161846160888672, epoch, 6
Random seed, 23, forward time, 5.984467267990112, inference time, 719.8890545368195, qp time, 93.58991718292236, backward_time, 15.135887861251831, epoch, 8
Random seed, 1, forward time, 7.898604869842529, inference time, 973.4309666156769, qp time, 141.3696482181549, backward_time, 21.140751838684082, epoch, 12
Random seed, 6, forward time, 5.157397270202637, inference time, 904.777013540268, qp time, 87.98390817642212, backward_time, 13.281768083572388, epoch, 7
Random seed, 27, forward time, 4.128037214279175, inference time, 654.3798308372498, qp time, 72.81960415840149, backward_time, 10.485021591186523, epoch, 6
Random seed, 18, forward time, 5.543233871459961, inference time, 847.1086764335632, qp time, 110.47745490074158, backward_time, 15.023885011672974, epoch, 9
Random seed, 22, forward time, 5.090501308441162, inference time, 860.6882104873657, qp time, 88.87894582748413, backward_time, 12.970962285995483, epoch, 8
Random seed, 26, forward time, 5.1241631507873535, inference time, 806.4152069091797, qp time, 82.93469715118408, backward_time, 13.48705768585205, epoch, 7
Random seed, 7, forward time, 7.092559337615967, inference time, 1109.5220382213593, qp time, 107.24868130683899, backward_time, 17.247906923294067, epoch, 10
Random seed, 4, forward time, 7.052136659622192, inference time, 1186.8417119979858, qp time, 140.54677033424377, backward_time, 18.997997045516968, epoch, 12
Random seed, 15, forward time, 7.215368270874023, inference time, 1136.2942860126495, qp time, 130.23084473609924, backward_time, 18.181139945983887, epoch, 11
Random seed, 16, forward time, 6.704486608505249, inference time, 1157.4183814525604, qp time, 120.65609335899353, backward_time, 17.9555025100708, epoch, 10
Random seed, 24, forward time, 9.733553171157837, inference time, 1160.094361782074, qp time, 132.89308500289917, backward_time, 25.221823692321777, epoch, 11
Random seed, 21, forward time, 8.373476028442383, inference time, 1271.9785416126251, qp time, 144.8787031173706, backward_time, 22.15698766708374, epoch, 13
Random seed, 5, forward time, 8.854151487350464, inference time, 1636.317984342575, qp time, 136.63862204551697, backward_time, 22.452678680419922, epoch, 12
Random seed, 20, forward time, 12.2039213180542, inference time, 1562.7806751728058, qp time, 177.18571305274963, backward_time, 29.62760829925537, epoch, 16
Random seed, 3, forward time, 17.721121549606323, inference time, 1840.5062987804413, qp time, 266.61228942871094, backward_time, 39.98768854141235, epoch, 17
Random seed, 25, forward time, 8.816723346710205, inference time, 1742.544764995575, qp time, 146.69587016105652, backward_time, 22.636159896850586, epoch, 12
Random seed, 17, forward time, 13.944737911224365, inference time, 1975.9885597229004, qp time, 202.70246267318726, backward_time, 35.70268630981445, epoch, 17
Random seed, 28, forward time, 12.062547445297241, inference time, 1938.5648174285889, qp time, 162.09854888916016, backward_time, 30.55229687690735, epoch, 13
Random seed, 2, forward time, 14.489799737930298, inference time, 2370.897075653076, qp time, 218.4108645915985, backward_time, 35.93055725097656, epoch, 20
Random seed, 9, forward time, 15.47130274772644, inference time, 2523.9658167362213, qp time, 232.32114720344543, backward_time, 39.45289349555969, epoch, 19
Random seed, 30, forward time, 14.542131900787354, inference time, 2477.063619375229, qp time, 220.54310250282288, backward_time, 37.32984256744385, epoch, 19
Random seed, 8, forward time, 12.94477391242981, inference time, 2657.0132806301117, qp time, 256.1965699195862, backward_time, 34.30827283859253, epoch, 20
Random seed, 12, forward time, 29.34599208831787, inference time, 2923.09038233757, qp time, 355.26292753219604, backward_time, 73.0843722820282, epoch, 29
Random seed, 29, forward time, 16.339521646499634, inference time, 3093.843457221985, qp time, 261.2785985469818, backward_time, 41.6904137134552, epoch, 22
Random seed, 14, forward time, 16.231849193572998, inference time, 3310.031820297241, qp time, 265.5914022922516, backward_time, 41.658398151397705, epoch, 21
Random seed, 11, forward time, 33.08151149749756, inference time, 4464.226060628891, qp time, 483.1369140148163, backward_time, 80.00729846954346, epoch, 30
Random seed, 13, forward time, 35.384761095047, inference time, 6502.532819509506, qp time, 695.3978471755981, backward_time, 93.68071031570435, epoch, 53
