Random seed, 1, forward time, 13475.243938207626, qp time, 472.2845072746277, backward_time, 74.04783368110657
Random seed, 3, forward time, 13996.887100696564, qp time, 474.0376069545746, backward_time, 75.59557175636292
Random seed, 10, forward time, 14043.006568908691, qp time, 481.94163250923157, backward_time, 81.41355729103088
Random seed, 19, forward time, 14022.978601455688, qp time, 552.3850336074829, backward_time, 125.1581346988678
Random seed, 4, forward time, 14286.049379348755, qp time, 490.667227268219, backward_time, 62.56977438926697
Random seed, 20, forward time, 14204.819916963577, qp time, 479.5893077850342, backward_time, 97.38171291351318
Random seed, 23, forward time, 14286.518431663513, qp time, 541.9085569381714, backward_time, 97.96541023254395
Random seed, 18, forward time, 14467.9775390625, qp time, 584.7049524784088, backward_time, 71.08972835540771
Random seed, 21, forward time, 14794.22418665886, qp time, 509.46238255500793, backward_time, 82.57744789123535
Random seed, 7, forward time, 14858.021186590195, qp time, 478.22965359687805, backward_time, 89.23453760147095
Random seed, 2, forward time, 15373.011496067047, qp time, 452.8631455898285, backward_time, 90.52728533744812
Random seed, 15, forward time, 15695.228758335114, qp time, 508.7753252983093, backward_time, 69.59453010559082
Random seed, 26, forward time, 15980.855387926102, qp time, 459.5960431098938, backward_time, 92.32892656326294
Random seed, 22, forward time, 16368.106404304504, qp time, 497.7400486469269, backward_time, 77.15168642997742
Random seed, 13, forward time, 16576.978860855103, qp time, 562.0867960453033, backward_time, 69.32031893730164
Random seed, 24, forward time, 16511.898792505264, qp time, 531.0778079032898, backward_time, 125.83520603179932
Random seed, 27, forward time, 16868.969620227814, qp time, 549.4214515686035, backward_time, 78.12958121299744
Random seed, 16, forward time, 17006.23327922821, qp time, 514.0817325115204, backward_time, 77.2382287979126
Random seed, 17, forward time, 17336.63735985756, qp time, 530.6604113578796, backward_time, 109.65400981903076
Random seed, 11, forward time, 18442.22451043129, qp time, 489.70600962638855, backward_time, 92.41089224815369
Random seed, 9, forward time, 18596.77584695816, qp time, 510.98621249198914, backward_time, 105.9484965801239
Random seed, 8, forward time, 19035.09144759178, qp time, 518.0708239078522, backward_time, 62.76123332977295
Random seed, 6, forward time, 19215.444645643234, qp time, 493.43105483055115, backward_time, 89.30572462081909
Random seed, 28, forward time, 20552.171259641647, qp time, 533.6099917888641, backward_time, 130.2513952255249
Random seed, 30, forward time, 20618.280297994614, qp time, 652.3541495800018, backward_time, 144.37755274772644
Random seed, 12, forward time, 20902.41534805298, qp time, 486.7076110839844, backward_time, 140.90562796592712
Random seed, 29, forward time, 21103.089208841324, qp time, 529.8746974468231, backward_time, 93.58359384536743
Random seed, 25, forward time, 21217.80568909645, qp time, 542.2249855995178, backward_time, 90.79143905639648
Random seed, 5, forward time, 21663.243995904922, qp time, 476.4564733505249, backward_time, 90.85262131690979
Random seed, 14, forward time, 22798.514832496643, qp time, 502.824232339859, backward_time, 90.12396883964539
