Random seed, 3, forward time, 5.09525990486145, inference time, 14.575327157974243, qp time, 0.7187397480010986, backward_time, 8.382187366485596, epoch, 12
Random seed, 12, forward time, 3.0141870975494385, inference time, 15.173453330993652, qp time, 0.9810445308685303, backward_time, 4.145180940628052, epoch, 9
Random seed, 15, forward time, 6.223950147628784, inference time, 14.768020391464233, qp time, 0.7259519100189209, backward_time, 9.800634384155273, epoch, 16
Random seed, 14, forward time, 11.506770133972168, inference time, 13.340857028961182, qp time, 0.7140178680419922, backward_time, 16.80026912689209, epoch, 36
Random seed, 13, forward time, 8.411115646362305, inference time, 17.218950271606445, qp time, 0.8487577438354492, backward_time, 12.689257860183716, epoch, 23
Random seed, 11, forward time, 11.249955177307129, inference time, 14.331803798675537, qp time, 0.7904942035675049, backward_time, 17.343393325805664, epoch, 30
Random seed, 7, forward time, 8.228503465652466, inference time, 15.44798469543457, qp time, 0.8134057521820068, backward_time, 11.979363918304443, epoch, 26
Random seed, 21, forward time, 4.332685232162476, inference time, 16.84033989906311, qp time, 0.9047300815582275, backward_time, 6.548092842102051, epoch, 11
Random seed, 2, forward time, 10.3280668258667, inference time, 16.73814558982849, qp time, 0.8570799827575684, backward_time, 17.463598489761353, epoch, 20
Random seed, 18, forward time, 8.250309944152832, inference time, 17.3686044216156, qp time, 0.9150500297546387, backward_time, 12.681382656097412, epoch, 19
Random seed, 27, forward time, 4.971989631652832, inference time, 15.29789400100708, qp time, 0.7776398658752441, backward_time, 7.00292706489563, epoch, 17
Random seed, 20, forward time, 8.577709674835205, inference time, 16.032099962234497, qp time, 0.8190686702728271, backward_time, 12.347416877746582, epoch, 27
Random seed, 22, forward time, 5.784428119659424, inference time, 18.5929856300354, qp time, 0.93324875831604, backward_time, 8.302507638931274, epoch, 16
Random seed, 9, forward time, 11.955037832260132, inference time, 18.60057306289673, qp time, 0.7933614253997803, backward_time, 18.867600440979004, epoch, 31
Random seed, 4, forward time, 8.252055883407593, inference time, 16.852891445159912, qp time, 0.9514656066894531, backward_time, 11.05298924446106, epoch, 27
Random seed, 23, forward time, 9.05137825012207, inference time, 18.358754634857178, qp time, 0.8695127964019775, backward_time, 14.7454674243927, epoch, 22
Random seed, 10, forward time, 13.375037670135498, inference time, 17.148464679718018, qp time, 1.014784336090088, backward_time, 19.78644323348999, epoch, 34
Random seed, 5, forward time, 7.944883823394775, inference time, 17.17238450050354, qp time, 0.9828333854675293, backward_time, 12.425220966339111, epoch, 20
Random seed, 17, forward time, 14.748337984085083, inference time, 14.756860733032227, qp time, 0.8932716846466064, backward_time, 26.012515783309937, epoch, 27
Random seed, 1, forward time, 10.494807481765747, inference time, 19.7129545211792, qp time, 0.888892650604248, backward_time, 16.43560767173767, epoch, 25
Random seed, 29, forward time, 3.799041509628296, inference time, 17.11940026283264, qp time, 0.9054906368255615, backward_time, 6.535179376602173, epoch, 7
Random seed, 6, forward time, 12.45752739906311, inference time, 16.997979402542114, qp time, 0.7928099632263184, backward_time, 18.525675773620605, epoch, 34
Random seed, 25, forward time, 12.037972450256348, inference time, 15.101337432861328, qp time, 0.839306116104126, backward_time, 18.52483892440796, epoch, 31
Random seed, 24, forward time, 11.851623296737671, inference time, 15.355549097061157, qp time, 0.7669992446899414, backward_time, 20.44320321083069, epoch, 22
Random seed, 19, forward time, 16.04064655303955, inference time, 20.821884155273438, qp time, 1.001218318939209, backward_time, 26.387356758117676, epoch, 31
Random seed, 26, forward time, 17.0825457572937, inference time, 16.974905490875244, qp time, 0.8386609554290771, backward_time, 27.87130904197693, epoch, 38
Random seed, 16, forward time, 17.984970808029175, inference time, 19.780590057373047, qp time, 1.1489102840423584, backward_time, 27.046902656555176, epoch, 37
Random seed, 30, forward time, 9.891035556793213, inference time, 20.677645444869995, qp time, 0.9326596260070801, backward_time, 15.28626799583435, epoch, 24
Random seed, 28, forward time, 25.382263660430908, inference time, 11.435562133789062, qp time, 0.7807025909423828, backward_time, 43.56669068336487, epoch, 48
Random seed, 8, forward time, 26.473255157470703, inference time, 16.182769775390625, qp time, 0.9036316871643066, backward_time, 42.516247510910034, epoch, 57
