Epoch, 8
Random seed, 0, forward time, 16.190192937850952, inference time, 742.1684308052063, qp time, 0, backward_time, 294.6140203475952
forward time,0,0,0,0,0,0,0,0,0,16.190192937850952
inference time,0,0,0,0,0,0,0,0,0,742.1684308052063
qp time,0,0,0,0,0,0,0,0,0,0
backward time,0,0,35.11574912071228,34.87073564529419,34.95967364311218,35.00363230705261,34.96116852760315,34.73806595802307,35.188255310058594,49.776739835739136
