Random seed, 1, forward time, 5.757394552230835, inference time, 4.022536754608154, qp time, 0.289125919342041, backward_time, 9.597548246383667, epoch, 22
Random seed, 4, forward time, 3.140424966812134, inference time, 7.121588230133057, qp time, 0.33522510528564453, backward_time, 4.640554189682007, epoch, 16
Random seed, 3, forward time, 7.1902806758880615, inference time, 5.055053949356079, qp time, 0.27918124198913574, backward_time, 11.845381021499634, epoch, 28
Random seed, 16, forward time, 3.782141923904419, inference time, 3.9719910621643066, qp time, 0.2790184020996094, backward_time, 5.9206132888793945, epoch, 19
Random seed, 24, forward time, 4.617733001708984, inference time, 3.701397180557251, qp time, 0.301361083984375, backward_time, 7.806457757949829, epoch, 17
Random seed, 26, forward time, 5.671733379364014, inference time, 5.155148029327393, qp time, 0.27205920219421387, backward_time, 9.614381074905396, epoch, 21
Random seed, 13, forward time, 3.4088797569274902, inference time, 2.240605115890503, qp time, 0.2990546226501465, backward_time, 5.750995397567749, epoch, 12
Random seed, 29, forward time, 4.232732772827148, inference time, 6.561109781265259, qp time, 0.33621716499328613, backward_time, 7.30961275100708, epoch, 13
Random seed, 17, forward time, 9.726194858551025, inference time, 2.518606185913086, qp time, 0.26723742485046387, backward_time, 15.075348377227783, epoch, 52
Random seed, 5, forward time, 11.714044094085693, inference time, 7.593793630599976, qp time, 0.3941376209259033, backward_time, 18.0621120929718, epoch, 48
Random seed, 10, forward time, 2.1272733211517334, inference time, 5.324790954589844, qp time, 0.30675268173217773, backward_time, 3.471565008163452, epoch, 9
Random seed, 18, forward time, 7.845019817352295, inference time, 5.250704050064087, qp time, 0.27837133407592773, backward_time, 13.278759002685547, epoch, 29
Random seed, 25, forward time, 7.667595863342285, inference time, 3.7965240478515625, qp time, 0.305743932723999, backward_time, 13.804096460342407, epoch, 19
Random seed, 6, forward time, 8.66065001487732, inference time, 6.936783790588379, qp time, 0.3404109477996826, backward_time, 13.486412048339844, epoch, 37
Random seed, 20, forward time, 4.613670349121094, inference time, 3.550142765045166, qp time, 0.26490187644958496, backward_time, 7.848315000534058, epoch, 15
Random seed, 14, forward time, 3.129909038543701, inference time, 5.555316209793091, qp time, 0.31664299964904785, backward_time, 4.636999130249023, epoch, 16
Random seed, 30, forward time, 9.638232707977295, inference time, 5.379984140396118, qp time, 0.35657334327697754, backward_time, 15.315442562103271, epoch, 40
Random seed, 23, forward time, 5.308141708374023, inference time, 4.1596856117248535, qp time, 0.25359129905700684, backward_time, 8.363130331039429, epoch, 30
Random seed, 7, forward time, 2.3003225326538086, inference time, 5.627127170562744, qp time, 0.3908247947692871, backward_time, 3.5190930366516113, epoch, 10
Random seed, 27, forward time, 3.5493972301483154, inference time, 4.762868642807007, qp time, 0.3194453716278076, backward_time, 5.537447214126587, epoch, 15
Random seed, 21, forward time, 4.796549081802368, inference time, 4.422421216964722, qp time, 0.2802734375, backward_time, 7.508552074432373, epoch, 21
Random seed, 9, forward time, 5.343875885009766, inference time, 4.684735536575317, qp time, 0.29777002334594727, backward_time, 8.907811164855957, epoch, 20
Random seed, 15, forward time, 11.401221513748169, inference time, 4.587945461273193, qp time, 0.32445788383483887, backward_time, 19.679100513458252, epoch, 36
Random seed, 11, forward time, 8.369871139526367, inference time, 2.2911717891693115, qp time, 0.2792093753814697, backward_time, 13.75079345703125, epoch, 33
Random seed, 28, forward time, 3.882523536682129, inference time, 5.4088616371154785, qp time, 0.31964802742004395, backward_time, 6.517815351486206, epoch, 13
Random seed, 22, forward time, 5.608365058898926, inference time, 5.7643067836761475, qp time, 0.4124009609222412, backward_time, 9.08289623260498, epoch, 19
Random seed, 12, forward time, 6.762208700180054, inference time, 7.029900074005127, qp time, 0.34516143798828125, backward_time, 9.915815830230713, epoch, 34
Random seed, 8, forward time, 8.13485598564148, inference time, 4.776188373565674, qp time, 0.3601093292236328, backward_time, 12.53878378868103, epoch, 35
Random seed, 2, forward time, 20.046610116958618, inference time, 7.375086069107056, qp time, 0.35423874855041504, backward_time, 33.418439626693726, epoch, 62
Random seed, 19, forward time, 11.365157127380371, inference time, 6.577060699462891, qp time, 0.3310122489929199, backward_time, 16.64797830581665, epoch, 56
