Random seed, 11, forward time, 1.9657957553863525, inference time, 78.98022103309631, qp time, 1023.7698891162872, backward_time, 10.470539093017578, epoch, 5
Random seed, 28, forward time, 4.586731195449829, inference time, 98.90194082260132, qp time, 1377.9327335357666, backward_time, 14.980293273925781, epoch, 8
Random seed, 8, forward time, 3.0269153118133545, inference time, 109.98107528686523, qp time, 1751.5905117988586, backward_time, 15.540300846099854, epoch, 6
Random seed, 10, forward time, 2.118751287460327, inference time, 78.79477024078369, qp time, 1882.6593005657196, backward_time, 15.043711185455322, epoch, 5
Random seed, 22, forward time, 2.338150978088379, inference time, 112.29537105560303, qp time, 1824.6100685596466, backward_time, 15.836386919021606, epoch, 6
Random seed, 7, forward time, 3.1868295669555664, inference time, 131.54907274246216, qp time, 2196.4980475902557, backward_time, 20.990568161010742, epoch, 9
Random seed, 12, forward time, 2.183227062225342, inference time, 95.44775414466858, qp time, 2297.28759598732, backward_time, 18.686871767044067, epoch, 6
Random seed, 14, forward time, 5.381502628326416, inference time, 217.5673463344574, qp time, 2707.468391895294, backward_time, 29.296993255615234, epoch, 16
Random seed, 4, forward time, 4.1660356521606445, inference time, 197.1954002380371, qp time, 3243.915247440338, backward_time, 30.95288062095642, epoch, 13
Random seed, 18, forward time, 5.062945365905762, inference time, 217.79019045829773, qp time, 3196.392209291458, backward_time, 28.280941247940063, epoch, 11
Random seed, 26, forward time, 7.121987342834473, inference time, 261.43766736984253, qp time, 3352.4405052661896, backward_time, 33.74871015548706, epoch, 16
Random seed, 24, forward time, 10.89188003540039, inference time, 326.531690120697, qp time, 3353.6747174263, backward_time, 35.21068596839905, epoch, 19
Random seed, 21, forward time, 5.173933982849121, inference time, 219.42007303237915, qp time, 3641.532413482666, backward_time, 32.3717041015625, epoch, 12
Random seed, 29, forward time, 8.689582347869873, inference time, 208.45762276649475, qp time, 3718.4311661720276, backward_time, 34.59842228889465, epoch, 14
Random seed, 16, forward time, 6.465883255004883, inference time, 260.2034182548523, qp time, 3926.9411129951477, backward_time, 38.00279402732849, epoch, 18
Random seed, 15, forward time, 9.735891103744507, inference time, 381.7613859176636, qp time, 3895.2320313453674, backward_time, 42.94154334068298, epoch, 23
Random seed, 5, forward time, 7.07136344909668, inference time, 291.8314805030823, qp time, 4265.274619817734, backward_time, 38.76159143447876, epoch, 16
Random seed, 3, forward time, 14.509372472763062, inference time, 422.06745195388794, qp time, 4715.358920574188, backward_time, 52.912909507751465, epoch, 30
Random seed, 17, forward time, 12.27961778640747, inference time, 309.750483751297, qp time, 4881.941446304321, backward_time, 46.0709764957428, epoch, 20
Random seed, 1, forward time, 8.967448949813843, inference time, 401.73731231689453, qp time, 5177.648718118668, backward_time, 47.294941425323486, epoch, 19
Random seed, 30, forward time, 8.737136602401733, inference time, 365.1687562465668, qp time, 5796.739570856094, backward_time, 49.94510626792908, epoch, 18
Random seed, 13, forward time, 11.166179180145264, inference time, 389.2721092700958, qp time, 6805.4778089523315, backward_time, 63.5142080783844, epoch, 26
Random seed, 23, forward time, 11.964858531951904, inference time, 431.61576986312866, qp time, 6696.733839511871, backward_time, 61.131025075912476, epoch, 25
Random seed, 27, forward time, 11.657081604003906, inference time, 515.1712040901184, qp time, 6656.23067855835, backward_time, 69.00631809234619, epoch, 34
Random seed, 9, forward time, 15.088414430618286, inference time, 563.599625825882, qp time, 6902.791023731232, backward_time, 70.50838279724121, epoch, 35
Random seed, 20, forward time, 11.291126251220703, inference time, 476.0020167827606, qp time, 7487.900384187698, backward_time, 72.92205047607422, epoch, 32
Random seed, 6, forward time, 15.52025055885315, inference time, 708.2404937744141, qp time, 7636.760602712631, backward_time, 78.47766256332397, epoch, 39
Random seed, 25, forward time, 14.313925504684448, inference time, 516.4750878810883, qp time, 7808.175719261169, backward_time, 76.17664194107056, epoch, 34
Random seed, 2, forward time, 28.98231053352356, inference time, 821.697802066803, qp time, 12435.642030715942, backward_time, 118.89239358901978, epoch, 50
Random seed, 19, forward time, 21.683258295059204, inference time, 756.338707447052, qp time, 14378.223765850067, backward_time, 117.16512966156006, epoch, 37
