Random seed, 34, training time, 3491.1296083927155, optimization time, 0
Random seed, 27, training time, 3739.391762495041, optimization time, 0
Random seed, 17, training time, 3834.627815723419, optimization time, 0
Random seed, 33, training time, 3911.621295928955, optimization time, 0
Random seed, 15, training time, 3925.918706178665, optimization time, 0
Random seed, 41, training time, 3917.2008476257324, optimization time, 0
Random seed, 43, training time, 3942.9857120513916, optimization time, 0
Random seed, 37, training time, 3995.153225183487, optimization time, 0
Random seed, 25, training time, 4045.8409819602966, optimization time, 0
Random seed, 45, training time, 3956.021690607071, optimization time, 0
Random seed, 49, training time, 3958.015831232071, optimization time, 0
Random seed, 9, training time, 4147.5153913497925, optimization time, 0
Random seed, 46, training time, 4062.418078660965, optimization time, 0
Random seed, 40, training time, 4174.482750892639, optimization time, 0
Random seed, 44, training time, 4206.361130237579, optimization time, 0
Random seed, 36, training time, 4293.0105130672455, optimization time, 0
Random seed, 5, training time, 4268.263587236404, optimization time, 0
Random seed, 13, training time, 4353.882956504822, optimization time, 0
Random seed, 35, training time, 4365.034984827042, optimization time, 0
Random seed, 22, training time, 4334.931431055069, optimization time, 0
Random seed, 32, training time, 4300.850451231003, optimization time, 0
Random seed, 16, training time, 4412.6530685424805, optimization time, 0
Random seed, 47, training time, 4288.901572465897, optimization time, 0
Random seed, 12, training time, 4526.768666744232, optimization time, 0
Random seed, 19, training time, 4510.461243152618, optimization time, 0
Random seed, 23, training time, 4467.332201719284, optimization time, 0
Random seed, 4, training time, 4490.479908704758, optimization time, 0
Random seed, 42, training time, 4500.995848417282, optimization time, 0
Random seed, 24, training time, 4584.655385732651, optimization time, 0
Random seed, 1, training time, 4596.992636203766, optimization time, 0
Random seed, 14, training time, 4668.61967253685, optimization time, 0
Random seed, 30, training time, 4728.086414813995, optimization time, 0
Random seed, 50, training time, 4698.894789218903, optimization time, 0
Random seed, 28, training time, 4788.214905977249, optimization time, 0
Random seed, 6, training time, 4715.104844331741, optimization time, 0
Random seed, 11, training time, 4821.751459360123, optimization time, 0
Random seed, 48, training time, 4781.020120859146, optimization time, 0
Random seed, 26, training time, 4887.826308727264, optimization time, 0
Random seed, 3, training time, 4928.371886253357, optimization time, 0
Random seed, 21, training time, 4959.861175775528, optimization time, 0
Random seed, 8, training time, 4992.645362615585, optimization time, 0
Random seed, 29, training time, 5010.430191516876, optimization time, 0
Random seed, 20, training time, 4905.935636520386, optimization time, 0
Random seed, 39, training time, 4985.09107542038, optimization time, 0
Random seed, 2, training time, 5140.696348190308, optimization time, 0
Random seed, 7, training time, 5154.261325836182, optimization time, 0
Random seed, 10, training time, 5393.518515825272, optimization time, 0
Random seed, 31, training time, 5809.28129863739, optimization time, 0
Random seed, 18, training time, 6413.331725120544, optimization time, 0
Random seed, 38, training time, 6903.376352071762, optimization time, 0
