Random seed, 26, training time, 83.68233799934387, optimization time, 533.5229542255402
Random seed, 1, training time, 142.85363483428955, optimization time, 844.9252326488495
Random seed, 12, training time, 93.815096616745, optimization time, 878.8369421958923
Random seed, 9, training time, 116.78951239585876, optimization time, 1002.1207797527313
Random seed, 28, training time, 88.37402534484863, optimization time, 982.0016164779663
Random seed, 16, training time, 109.40084505081177, optimization time, 1095.5519123077393
Random seed, 7, training time, 113.94779109954834, optimization time, 1155.8482737541199
Random seed, 19, training time, 75.03380513191223, optimization time, 1123.0833866596222
Random seed, 13, training time, 67.8361144065857, optimization time, 1220.2547314167023
Random seed, 10, training time, 112.02315378189087, optimization time, 1214.6526367664337
Random seed, 5, training time, 98.34432673454285, optimization time, 1278.7806465625763
Random seed, 2, training time, 71.19501209259033, optimization time, 1360.7945303916931
Random seed, 17, training time, 95.49242544174194, optimization time, 1280.5714287757874
Random seed, 6, training time, 139.03460431098938, optimization time, 1373.1449081897736
Random seed, 24, training time, 125.29563498497009, optimization time, 1260.5040764808655
Random seed, 23, training time, 79.28911876678467, optimization time, 1358.404146194458
Random seed, 14, training time, 86.55322766304016, optimization time, 1431.0200417041779
Random seed, 8, training time, 71.14266061782837, optimization time, 1502.943295955658
Random seed, 30, training time, 91.64968585968018, optimization time, 1332.4193425178528
Random seed, 3, training time, 97.92561316490173, optimization time, 1540.7346878051758
Random seed, 20, training time, 105.14816212654114, optimization time, 1391.8214056491852
Random seed, 27, training time, 105.99437117576599, optimization time, 1509.316284418106
Random seed, 18, training time, 106.41977000236511, optimization time, 1641.0727500915527
Random seed, 21, training time, 120.77815008163452, optimization time, 1640.7306778430939
Random seed, 25, training time, 85.96953082084656, optimization time, 1671.6569211483002
Random seed, 4, training time, 109.38465452194214, optimization time, 1805.5309886932373
Random seed, 29, training time, 112.17258334159851, optimization time, 1729.3336789608002
Random seed, 11, training time, 100.34738659858704, optimization time, 1908.9120426177979
Random seed, 15, training time, 121.0577220916748, optimization time, 2018.382627248764
Random seed, 22, training time, 139.37859177589417, optimization time, 2527.8123939037323
