Random seed, 34, training time, 86.1954882144928, optimization time, 1991.9829807281494
Random seed, 17, training time, 91.5877730846405, optimization time, 2176.4269626140594
Random seed, 27, training time, 75.47427415847778, optimization time, 2173.530408859253
Random seed, 41, training time, 82.82199454307556, optimization time, 2141.102197408676
Random seed, 43, training time, 91.33069014549255, optimization time, 2229.8170828819275
Random seed, 33, training time, 83.61617422103882, optimization time, 2268.8777961730957
Random seed, 15, training time, 89.92041444778442, optimization time, 2352.061017036438
Random seed, 25, training time, 82.4258120059967, optimization time, 2424.7487409114838
Random seed, 5, training time, 87.4709141254425, optimization time, 2449.002224445343
Random seed, 49, training time, 94.81650114059448, optimization time, 2369.6743533611298
Random seed, 35, training time, 95.57603120803833, optimization time, 2457.0692808628082
Random seed, 40, training time, 80.36910486221313, optimization time, 2438.3654386997223
Random seed, 45, training time, 83.71976232528687, optimization time, 2431.4034719467163
Random seed, 4, training time, 92.42434525489807, optimization time, 2551.6681191921234
Random seed, 22, training time, 91.76894664764404, optimization time, 2556.5751864910126
Random seed, 16, training time, 92.86263608932495, optimization time, 2571.221607685089
Random seed, 18, training time, 98.13926529884338, optimization time, 2599.7665185928345
Random seed, 13, training time, 91.31073379516602, optimization time, 2521.19286775589
Random seed, 46, training time, 90.50437831878662, optimization time, 2469.389832496643
Random seed, 24, training time, 97.34858345985413, optimization time, 2607.863600730896
Random seed, 37, training time, 75.39590167999268, optimization time, 2568.705842733383
Random seed, 36, training time, 89.70764183998108, optimization time, 2601.247138738632
Random seed, 9, training time, 80.42358136177063, optimization time, 2593.1277039051056
Random seed, 1, training time, 82.72210383415222, optimization time, 2710.553834915161
Random seed, 42, training time, 86.00735855102539, optimization time, 2657.830982685089
Random seed, 44, training time, 92.70125436782837, optimization time, 2691.496082544327
Random seed, 47, training time, 84.33665347099304, optimization time, 2667.590110063553
Random seed, 21, training time, 99.10055160522461, optimization time, 2795.9746508598328
Random seed, 19, training time, 85.78068923950195, optimization time, 2812.8399682044983
Random seed, 50, training time, 100.76877641677856, optimization time, 2774.670863389969
Random seed, 32, training time, 115.4837555885315, optimization time, 2808.673380613327
Random seed, 11, training time, 84.96503376960754, optimization time, 2832.8559288978577
Random seed, 20, training time, 81.14839386940002, optimization time, 2897.525444507599
Random seed, 12, training time, 85.20657253265381, optimization time, 2840.139179468155
Random seed, 30, training time, 75.45703411102295, optimization time, 2911.921308994293
Random seed, 14, training time, 86.16761469841003, optimization time, 2919.7852840423584
Random seed, 28, training time, 88.91189527511597, optimization time, 2938.9098510742188
Random seed, 6, training time, 94.63249683380127, optimization time, 2976.7200741767883
Random seed, 48, training time, 93.56121301651001, optimization time, 2979.796133995056
Random seed, 8, training time, 91.49327611923218, optimization time, 3017.1610391139984
Random seed, 2, training time, 94.0973219871521, optimization time, 3081.1754841804504
Random seed, 23, training time, 100.47224879264832, optimization time, 3105.5921065807343
Random seed, 38, training time, 92.02282500267029, optimization time, 3025.8624215126038
Random seed, 3, training time, 88.06585121154785, optimization time, 3139.1925168037415
Random seed, 7, training time, 92.85839033126831, optimization time, 3129.8154175281525
Random seed, 29, training time, 90.27085304260254, optimization time, 3168.3848214149475
Random seed, 26, training time, 94.54093933105469, optimization time, 3229.309194803238
Random seed, 10, training time, 107.37535381317139, optimization time, 3174.0886447429657
Random seed, 31, training time, 96.40936613082886, optimization time, 3951.589964866638
Random seed, 39, training time, 147.479736328125, optimization time, 4496.647604227066
