Random seed, 26, training time, 1660.9485404491425
Random seed, 12, training time, 1739.5101370811462
Random seed, 1, training time, 2020.7176704406738
Random seed, 19, training time, 2084.9780514240265
Random seed, 16, training time, 2206.9248230457306
Random seed, 9, training time, 2199.292860507965
Random seed, 10, training time, 2159.897533893585
Random seed, 7, training time, 2226.828860282898
Random seed, 17, training time, 2197.8848655223846
Random seed, 28, training time, 2262.9714357852936
Random seed, 30, training time, 2264.4066870212555
Random seed, 23, training time, 2326.0829648971558
Random seed, 5, training time, 2392.0773594379425
Random seed, 20, training time, 2422.5075118541718
Random seed, 6, training time, 2505.626261949539
Random seed, 24, training time, 2464.007743358612
Random seed, 27, training time, 2679.554864168167
Random seed, 2, training time, 2697.9513807296753
Random seed, 25, training time, 2776.984305381775
Random seed, 11, training time, 2906.384493112564
Random seed, 29, training time, 2944.5061898231506
Random seed, 8, training time, 2977.742945432663
Random seed, 3, training time, 2968.1658370494843
Random seed, 18, training time, 3033.1893203258514
Random seed, 14, training time, 3061.7863845825195
Random seed, 21, training time, 3149.711319208145
Random seed, 4, training time, 3217.870880842209
Random seed, 15, training time, 3197.2698335647583
Random seed, 13, training time, 3390.3923728466034
Random seed, 22, training time, 3643.616599082947
