Random seed, 36, training time, 116.14920425415039, optimization time, 1332.8399910926819
Random seed, 26, training time, 130.16887617111206, optimization time, 1421.4947547912598
Random seed, 10, training time, 90.09573769569397, optimization time, 1558.2510890960693
Random seed, 13, training time, 97.28922486305237, optimization time, 1616.5993483066559
Random seed, 17, training time, 119.52477836608887, optimization time, 1629.8252835273743
Random seed, 24, training time, 95.32409691810608, optimization time, 1640.6708409786224
Random seed, 6, training time, 96.47607898712158, optimization time, 1682.8110077381134
Random seed, 15, training time, 97.1237850189209, optimization time, 1763.305166721344
Random seed, 45, training time, 112.04132056236267, optimization time, 1696.509176492691
Random seed, 8, training time, 102.66486525535583, optimization time, 1790.1621692180634
Random seed, 2, training time, 117.20442628860474, optimization time, 1808.9078197479248
Random seed, 34, training time, 114.93305706977844, optimization time, 1786.435849905014
Random seed, 47, training time, 108.93022871017456, optimization time, 1784.502989768982
Random seed, 43, training time, 126.3960587978363, optimization time, 1781.4006509780884
Random seed, 5, training time, 103.35523128509521, optimization time, 1861.2153151035309
Random seed, 35, training time, 122.88825464248657, optimization time, 1795.528860092163
Random seed, 4, training time, 94.40011668205261, optimization time, 1874.6220791339874
Random seed, 9, training time, 119.57323718070984, optimization time, 1839.5419235229492
Random seed, 31, training time, 106.21044301986694, optimization time, 1884.243072271347
Random seed, 3, training time, 109.67215156555176, optimization time, 1949.7971923351288
Random seed, 49, training time, 117.22760725021362, optimization time, 1884.980495929718
Random seed, 16, training time, 109.03837990760803, optimization time, 1979.9623749256134
Random seed, 42, training time, 104.33352732658386, optimization time, 1940.842515707016
Random seed, 1, training time, 99.65965557098389, optimization time, 2029.5262415409088
Random seed, 32, training time, 118.2837119102478, optimization time, 1937.9875009059906
Random seed, 48, training time, 90.97479462623596, optimization time, 1936.9776945114136
Random seed, 25, training time, 107.25735187530518, optimization time, 2012.1095473766327
Random seed, 37, training time, 99.39989495277405, optimization time, 2003.2852210998535
Random seed, 12, training time, 95.46088457107544, optimization time, 2067.1587414741516
Random seed, 44, training time, 109.60809016227722, optimization time, 2012.3235232830048
Random seed, 50, training time, 109.38255190849304, optimization time, 1991.7229464054108
Random seed, 40, training time, 101.28939938545227, optimization time, 2062.476651906967
Random seed, 27, training time, 122.91180682182312, optimization time, 2062.7189633846283
Random seed, 39, training time, 106.78030037879944, optimization time, 2084.7861082553864
Random seed, 23, training time, 123.77360510826111, optimization time, 2175.4465384483337
Random seed, 38, training time, 110.61398983001709, optimization time, 2122.889199256897
Random seed, 21, training time, 135.42127585411072, optimization time, 2163.1330184936523
Random seed, 14, training time, 133.62012147903442, optimization time, 2194.803733110428
Random seed, 30, training time, 96.04318118095398, optimization time, 2199.5315845012665
Random seed, 11, training time, 114.03170847892761, optimization time, 2266.141903400421
Random seed, 28, training time, 149.22771620750427, optimization time, 2173.1476380825043
Random seed, 22, training time, 104.45861840248108, optimization time, 2278.2924933433533
Random seed, 18, training time, 105.69332838058472, optimization time, 2274.239037513733
Random seed, 19, training time, 145.0086579322815, optimization time, 2332.21617770195
Random seed, 7, training time, 113.134437084198, optimization time, 2339.091866016388
Random seed, 29, training time, 126.00134062767029, optimization time, 2320.5939135551453
Random seed, 20, training time, 104.01560807228088, optimization time, 2389.9219410419464
Random seed, 46, training time, 118.08645677566528, optimization time, 2332.7208712100983
Random seed, 33, training time, 117.24745893478394, optimization time, 2439.1749136447906
Random seed, 41, training time, 155.72280526161194, optimization time, 2716.6434984207153
