Random seed, 34, training time, 86.85494804382324, optimization time, 2456.583441734314
Random seed, 27, training time, 82.17318487167358, optimization time, 2721.3189005851746
Random seed, 33, training time, 85.56640577316284, optimization time, 2765.148835659027
Random seed, 17, training time, 97.2388973236084, optimization time, 2785.1863486766815
Random seed, 43, training time, 99.62887692451477, optimization time, 2753.4328820705414
Random seed, 5, training time, 94.25714564323425, optimization time, 2865.4456284046173
Random seed, 25, training time, 87.14026141166687, optimization time, 2831.872939825058
Random seed, 35, training time, 96.31775188446045, optimization time, 2862.0370762348175
Random seed, 41, training time, 86.36517834663391, optimization time, 2842.123233795166
Random seed, 9, training time, 82.56922817230225, optimization time, 2854.2733404636383
Random seed, 22, training time, 98.77329206466675, optimization time, 2897.130195379257
Random seed, 15, training time, 91.12843704223633, optimization time, 2930.932527780533
Random seed, 37, training time, 75.8451623916626, optimization time, 2954.0273098945618
Random seed, 4, training time, 94.057936668396, optimization time, 3057.7172293663025
Random seed, 36, training time, 85.56766891479492, optimization time, 2945.5567677021027
Random seed, 45, training time, 87.43682169914246, optimization time, 2985.030296087265
Random seed, 46, training time, 92.8444972038269, optimization time, 2979.7521872520447
Random seed, 32, training time, 117.98840475082397, optimization time, 3056.4909448623657
Random seed, 49, training time, 94.44130992889404, optimization time, 3018.54256939888
Random seed, 2, training time, 93.3304967880249, optimization time, 3162.616999387741
Random seed, 18, training time, 98.1237301826477, optimization time, 3051.6654086112976
Random seed, 16, training time, 97.43130326271057, optimization time, 3137.612051963806
Random seed, 1, training time, 88.86618137359619, optimization time, 3193.5343894958496
Random seed, 44, training time, 94.31439733505249, optimization time, 3103.4612340927124
Random seed, 13, training time, 88.86126446723938, optimization time, 3149.723536968231
Random seed, 40, training time, 83.30905151367188, optimization time, 3226.8140535354614
Random seed, 47, training time, 82.96029615402222, optimization time, 3143.740811109543
Random seed, 42, training time, 88.17467021942139, optimization time, 3180.266393661499
Random seed, 20, training time, 82.2837393283844, optimization time, 3273.2480499744415
Random seed, 38, training time, 90.7116289138794, optimization time, 3244.4594802856445
Random seed, 6, training time, 88.68090748786926, optimization time, 3387.92139172554
Random seed, 24, training time, 98.61230945587158, optimization time, 3308.369134426117
Random seed, 28, training time, 92.70386552810669, optimization time, 3413.669182062149
Random seed, 8, training time, 87.01407599449158, optimization time, 3499.2602887153625
Random seed, 12, training time, 82.63868808746338, optimization time, 3507.0931401252747
Random seed, 23, training time, 101.1425461769104, optimization time, 3483.2006843090057
Random seed, 48, training time, 94.94235634803772, optimization time, 3496.0219011306763
Random seed, 26, training time, 93.69792795181274, optimization time, 3577.1285870075226
Random seed, 39, training time, 104.02068305015564, optimization time, 3600.077647924423
Random seed, 10, training time, 101.84662437438965, optimization time, 3649.09973859787
Random seed, 21, training time, 105.73255014419556, optimization time, 3692.8056938648224
Random seed, 7, training time, 90.97372531890869, optimization time, 3855.4216496944427
Random seed, 29, training time, 89.84810304641724, optimization time, 3806.896220445633
Random seed, 50, training time, 100.17521858215332, optimization time, 3770.3084614276886
Random seed, 19, training time, 82.86191201210022, optimization time, 3883.4274978637695
Random seed, 3, training time, 86.73515963554382, optimization time, 4310.534163951874
Random seed, 14, training time, 87.55822587013245, optimization time, 4278.716465711594
Random seed, 30, training time, 78.21837115287781, optimization time, 4378.0748682022095
Random seed, 11, training time, 130.09562945365906, optimization time, 4398.251314163208
Random seed, 31, training time, 95.21274757385254, optimization time, 4901.978215456009
