Random seed, 34, training time, 3580.4119684696198, optimization time, 0
Random seed, 17, training time, 3763.5991728305817, optimization time, 0
Random seed, 41, training time, 3857.8239562511444, optimization time, 0
Random seed, 27, training time, 3861.7164459228516, optimization time, 0
Random seed, 43, training time, 3888.4960494041443, optimization time, 0
Random seed, 37, training time, 3935.4576001167297, optimization time, 0
Random seed, 15, training time, 3985.979046344757, optimization time, 0
Random seed, 9, training time, 4014.6886732578278, optimization time, 0
Random seed, 33, training time, 4112.070438861847, optimization time, 0
Random seed, 49, training time, 4024.6604328155518, optimization time, 0
Random seed, 25, training time, 4073.071704387665, optimization time, 0
Random seed, 13, training time, 4186.019840478897, optimization time, 0
Random seed, 5, training time, 4215.422144174576, optimization time, 0
Random seed, 45, training time, 4182.207407474518, optimization time, 0
Random seed, 36, training time, 4197.786655187607, optimization time, 0
Random seed, 40, training time, 4215.898059129715, optimization time, 0
Random seed, 44, training time, 4292.1562063694, optimization time, 0
Random seed, 22, training time, 4265.244181156158, optimization time, 0
Random seed, 32, training time, 4321.375438213348, optimization time, 0
Random seed, 4, training time, 4390.906407833099, optimization time, 0
Random seed, 18, training time, 4327.839943647385, optimization time, 0
Random seed, 16, training time, 4352.608302593231, optimization time, 0
Random seed, 1, training time, 4398.680904150009, optimization time, 0
Random seed, 46, training time, 4324.584768772125, optimization time, 0
Random seed, 35, training time, 4422.945904254913, optimization time, 0
Random seed, 42, training time, 4413.2536363601685, optimization time, 0
Random seed, 24, training time, 4475.646179199219, optimization time, 0
Random seed, 11, training time, 4419.913721561432, optimization time, 0
Random seed, 47, training time, 4463.393550634384, optimization time, 0
Random seed, 12, training time, 4574.036652326584, optimization time, 0
Random seed, 19, training time, 4544.400539398193, optimization time, 0
Random seed, 23, training time, 4548.267877578735, optimization time, 0
Random seed, 6, training time, 4540.812712192535, optimization time, 0
Random seed, 14, training time, 4599.322062730789, optimization time, 0
Random seed, 21, training time, 4690.797688245773, optimization time, 0
Random seed, 20, training time, 4599.5407037734985, optimization time, 0
Random seed, 38, training time, 4767.372654676437, optimization time, 0
Random seed, 8, training time, 4834.071919441223, optimization time, 0
Random seed, 30, training time, 4842.05375957489, optimization time, 0
Random seed, 28, training time, 4845.524625301361, optimization time, 0
Random seed, 50, training time, 4801.071247577667, optimization time, 0
Random seed, 7, training time, 5019.729115247726, optimization time, 0
Random seed, 26, training time, 4952.688338279724, optimization time, 0
Random seed, 48, training time, 5012.477587461472, optimization time, 0
Random seed, 39, training time, 5084.564188718796, optimization time, 0
Random seed, 2, training time, 5206.219548940659, optimization time, 0
Random seed, 29, training time, 5149.719911813736, optimization time, 0
Random seed, 10, training time, 5164.413080692291, optimization time, 0
Random seed, 31, training time, 5868.02543926239, optimization time, 0
