Random seed, 34, training time, 36368.99742555618, optimization time, 0
Random seed, 32, training time, 42788.829770088196, optimization time, 0
Random seed, 49, training time, 43258.90042471886, optimization time, 0
Random seed, 27, training time, 48213.32314777374, optimization time, 0
Random seed, 41, training time, 48618.000757694244, optimization time, 0
Random seed, 17, training time, 49163.39199304581, optimization time, 0
Random seed, 5, training time, 50193.00765585899, optimization time, 0
Random seed, 43, training time, 50292.845903635025, optimization time, 0
Random seed, 33, training time, 51887.42664074898, optimization time, 0
Random seed, 37, training time, 53255.3098886013, optimization time, 0
Random seed, 40, training time, 55852.50299453735, optimization time, 0
Random seed, 15, training time, 57768.67048931122, optimization time, 0
Random seed, 47, training time, 57617.3256881237, optimization time, 0
Random seed, 44, training time, 60101.53838682175, optimization time, 0
Random seed, 25, training time, 61308.094843387604, optimization time, 0
Random seed, 36, training time, 63434.430815696716, optimization time, 0
Random seed, 9, training time, 63928.7847943306, optimization time, 0
Random seed, 46, training time, 63971.13955330849, optimization time, 0
Random seed, 50, training time, 63790.104117393494, optimization time, 0
Random seed, 11, training time, 64333.389276981354, optimization time, 0
Random seed, 42, training time, 65085.65128827095, optimization time, 0
Random seed, 26, training time, 64812.832231760025, optimization time, 0
Random seed, 18, training time, 67313.06729245186, optimization time, 0
Random seed, 19, training time, 69292.95020198822, optimization time, 0
Random seed, 35, training time, 69910.67484879494, optimization time, 0
Random seed, 45, training time, 69630.20390534401, optimization time, 0
Random seed, 22, training time, 70355.10789775848, optimization time, 0
Random seed, 48, training time, 71499.00205206871, optimization time, 0
Random seed, 13, training time, 71858.39158082008, optimization time, 0
Random seed, 1, training time, 72871.18092083931, optimization time, 0
Random seed, 30, training time, 74349.01876497269, optimization time, 0
Random seed, 16, training time, 75581.78131532669, optimization time, 0
Random seed, 3, training time, 76102.35989499092, optimization time, 0
Random seed, 20, training time, 76233.70547270775, optimization time, 0
Random seed, 24, training time, 76356.04614901543, optimization time, 0
Random seed, 14, training time, 77399.73314476013, optimization time, 0
Random seed, 23, training time, 77489.94188308716, optimization time, 0
Random seed, 38, training time, 77951.60262966156, optimization time, 0
Random seed, 8, training time, 80218.76348209381, optimization time, 0
Random seed, 21, training time, 80812.82526993752, optimization time, 0
Random seed, 12, training time, 83216.67872309685, optimization time, 0
Random seed, 28, training time, 86553.29947304726, optimization time, 0
Random seed, 6, training time, 88762.3790333271, optimization time, 0
Random seed, 39, training time, 89573.86413264275, optimization time, 0
Random seed, 10, training time, 90042.96232557297, optimization time, 0
Random seed, 7, training time, 102460.04555439949, optimization time, 0
Random seed, 2, training time, 103232.80430293083, optimization time, 0
Random seed, 29, training time, 103564.47433638573, optimization time, 0
Random seed, 31, training time, 121557.14737439156, optimization time, 0
