Random seed, 26, training time, 83.68176174163818, optimization time, 541.9249160289764
Random seed, 1, training time, 146.48287057876587, optimization time, 859.1381261348724
Random seed, 12, training time, 90.64276599884033, optimization time, 891.4644730091095
Random seed, 28, training time, 85.06228709220886, optimization time, 896.4733135700226
Random seed, 9, training time, 113.90954899787903, optimization time, 1006.8633346557617
Random seed, 16, training time, 104.81903839111328, optimization time, 1062.4313774108887
Random seed, 19, training time, 74.38214802742004, optimization time, 1117.9819049835205
Random seed, 13, training time, 68.13575887680054, optimization time, 1207.2753462791443
Random seed, 10, training time, 109.64179849624634, optimization time, 1247.1658220291138
Random seed, 5, training time, 100.02401471138, optimization time, 1246.9937946796417
Random seed, 17, training time, 95.05767130851746, optimization time, 1285.6989884376526
Random seed, 7, training time, 117.69596815109253, optimization time, 1281.1115250587463
Random seed, 30, training time, 90.56258726119995, optimization time, 1292.0069732666016
Random seed, 24, training time, 127.0116319656372, optimization time, 1290.7732207775116
Random seed, 2, training time, 71.41726493835449, optimization time, 1356.2164719104767
Random seed, 6, training time, 135.3721263408661, optimization time, 1332.0668263435364
Random seed, 23, training time, 82.93548512458801, optimization time, 1428.4510288238525
Random seed, 14, training time, 85.73745131492615, optimization time, 1432.5530292987823
Random seed, 20, training time, 105.1202437877655, optimization time, 1422.4844000339508
Random seed, 27, training time, 100.85934019088745, optimization time, 1425.9293200969696
Random seed, 8, training time, 70.20553612709045, optimization time, 1505.645379781723
Random seed, 3, training time, 99.08036947250366, optimization time, 1554.5322060585022
Random seed, 25, training time, 86.93857645988464, optimization time, 1680.3463823795319
Random seed, 18, training time, 105.1474244594574, optimization time, 1650.281013727188
Random seed, 21, training time, 126.9894630908966, optimization time, 1730.2219846248627
Random seed, 29, training time, 116.92001295089722, optimization time, 1775.2850711345673
Random seed, 11, training time, 97.19087982177734, optimization time, 1796.766607284546
Random seed, 4, training time, 105.08450675010681, optimization time, 1824.2970695495605
Random seed, 15, training time, 113.85702061653137, optimization time, 1983.746859073639
Random seed, 22, training time, 142.97307634353638, optimization time, 2560.681334733963
