Random seed, 26, training time, 81.11996150016785, optimization time, 472.0715067386627
Random seed, 12, training time, 95.04080295562744, optimization time, 866.8499817848206
Random seed, 1, training time, 142.69457626342773, optimization time, 803.8191676139832
Random seed, 28, training time, 78.88831329345703, optimization time, 921.4520711898804
Random seed, 9, training time, 118.4190456867218, optimization time, 998.2447135448456
Random seed, 19, training time, 75.37874150276184, optimization time, 1049.7769923210144
Random seed, 16, training time, 110.9363009929657, optimization time, 1113.7861967086792
Random seed, 7, training time, 119.36854195594788, optimization time, 1159.8767049312592
Random seed, 13, training time, 66.51679635047913, optimization time, 1194.665807723999
Random seed, 10, training time, 113.83972072601318, optimization time, 1156.0187458992004
Random seed, 5, training time, 100.16426062583923, optimization time, 1195.813889503479
Random seed, 17, training time, 96.13050436973572, optimization time, 1212.3344855308533
Random seed, 2, training time, 69.55762243270874, optimization time, 1308.8115208148956
Random seed, 6, training time, 137.3155014514923, optimization time, 1263.500718832016
Random seed, 24, training time, 132.28369760513306, optimization time, 1233.056446313858
Random seed, 30, training time, 94.86755275726318, optimization time, 1263.5039627552032
Random seed, 20, training time, 103.57617855072021, optimization time, 1342.4735314846039
Random seed, 23, training time, 84.33884072303772, optimization time, 1370.205572605133
Random seed, 14, training time, 84.49423885345459, optimization time, 1398.2325448989868
Random seed, 8, training time, 68.56466341018677, optimization time, 1480.4650909900665
Random seed, 27, training time, 99.66006255149841, optimization time, 1424.858157157898
Random seed, 18, training time, 103.57881689071655, optimization time, 1576.6602227687836
Random seed, 3, training time, 97.1271960735321, optimization time, 1538.8108463287354
Random seed, 25, training time, 85.07728791236877, optimization time, 1628.1199324131012
Random seed, 4, training time, 103.40118718147278, optimization time, 1718.4329838752747
Random seed, 21, training time, 131.59303283691406, optimization time, 1715.3079571723938
Random seed, 11, training time, 93.49912333488464, optimization time, 1823.9859008789062
Random seed, 29, training time, 115.95202851295471, optimization time, 1783.1729187965393
Random seed, 15, training time, 109.0794472694397, optimization time, 1890.7116734981537
Random seed, 22, training time, 148.2078869342804, optimization time, 2667.3953886032104
