Random seed, 1
nodes, 40.0, edges, 78.2, epochs, -1, time, 22.965099096298218
nodes, 40.0, edges, 78.2, epochs, 0, time, 27.54718780517578
nodes, 40.0, edges, 78.2, epochs, 1, time, 26.885756731033325
nodes, 40.0, edges, 78.2, epochs, 2, time, 27.09553551673889
nodes, 40.0, edges, 78.2, epochs, 3, time, 28.140808582305908
nodes, 40.0, edges, 78.2, epochs, 4, time, 28.20814085006714
nodes, 40.0, edges, 78.2, epochs, 5, time, 27.51972794532776
nodes, 40.0, edges, 78.2, epochs, 6, time, 28.385000228881836
nodes, 40.0, edges, 78.2, epochs, 7, time, 29.618184328079224
nodes, 40.0, edges, 78.2, epochs, 8, time, 28.428681135177612
nodes, 40.0, edges, 78.2, epochs, 9, time, 28.177100896835327
nodes, 40.0, edges, 78.2, epochs, 10, time, 30.63535475730896
nodes, 40.0, edges, 78.2, epochs, 11, time, 30.338181495666504
nodes, 40.0, edges, 78.2, epochs, 12, time, 27.402387857437134
nodes, 40.0, edges, 78.2, epochs, 13, time, 29.987934827804565
nodes, 40.0, edges, 78.2, epochs, 14, time, 29.154878616333008
nodes, 40.0, edges, 78.2, epochs, 15, time, 28.877954483032227
nodes, 40.0, edges, 78.2, epochs, 16, time, 29.235313177108765
nodes, 40.0, edges, 78.2, epochs, 17, time, 30.006606817245483
nodes, 40.0, edges, 78.2, epochs, 18, time, 29.035223960876465
nodes, 40.0, edges, 78.2, epochs, 19, time, 29.27998685836792
nodes, 40.0, edges, 78.2, epochs, 20, time, 29.623363256454468
nodes, 40.0, edges, 78.2, epochs, 21, time, 30.018477201461792
nodes, 40.0, edges, 78.2, epochs, 22, time, 31.034826278686523
nodes, 40.0, edges, 78.2, epochs, 23, time, 29.840779304504395
nodes, 40.0, edges, 78.2, epochs, 24, time, 29.62570309638977
nodes, 40.0, edges, 78.2, epochs, 25, time, 29.022997856140137
nodes, 40.0, edges, 78.2, epochs, 26, time, 27.99883008003235
nodes, 40.0, edges, 78.2, epochs, 27, time, 28.60665512084961
nodes, 40.0, edges, 78.2, epochs, 28, time, 28.27020001411438
nodes, 40.0, edges, 78.2, epochs, 29, time, 28.193403244018555
nodes, 40.0, edges, 78.2, epochs, 30, time, 28.125380754470825
Random seed, 2
nodes, 40.0, edges, 85.7, epochs, -1, time, 29.84365963935852
nodes, 40.0, edges, 85.7, epochs, 0, time, 35.84646034240723
nodes, 40.0, edges, 85.7, epochs, 1, time, 33.60787892341614
nodes, 40.0, edges, 85.7, epochs, 2, time, 34.176284074783325
nodes, 40.0, edges, 85.7, epochs, 3, time, 33.76752042770386
nodes, 40.0, edges, 85.7, epochs, 4, time, 34.24585175514221
nodes, 40.0, edges, 85.7, epochs, 5, time, 33.134780168533325
nodes, 40.0, edges, 85.7, epochs, 6, time, 33.47594976425171
nodes, 40.0, edges, 85.7, epochs, 7, time, 33.726834297180176
nodes, 40.0, edges, 85.7, epochs, 8, time, 34.889880895614624
nodes, 40.0, edges, 85.7, epochs, 9, time, 33.02662944793701
nodes, 40.0, edges, 85.7, epochs, 10, time, 32.28195548057556
