nodes, 20.0, edges, 43.0, epochs, -1, time, 176.84150624275208
nodes, 20.0, edges, 43.0, epochs, 0, time, 187.49799180030823
nodes, 20.0, edges, 43.0, epochs, 1, time, 189.0147421360016
nodes, 20.0, edges, 43.0, epochs, 2, time, 193.29717779159546
nodes, 20.0, edges, 43.0, epochs, 3, time, 197.4348886013031
nodes, 20.0, edges, 43.0, epochs, 4, time, 192.90917801856995
nodes, 20.0, edges, 43.0, epochs, 5, time, 189.81560158729553
nodes, 20.0, edges, 43.0, epochs, 6, time, 188.41700983047485
nodes, 20.0, edges, 43.0, epochs, 7, time, 188.04590249061584
nodes, 20.0, edges, 43.0, epochs, 8, time, 186.70292210578918
nodes, 20.0, edges, 43.0, epochs, 9, time, 187.74856209754944
nodes, 20.0, edges, 43.0, epochs, 10, time, 195.81108474731445
nodes, 20.0, edges, 43.0, epochs, 11, time, 187.96785807609558
nodes, 20.0, edges, 43.0, epochs, 12, time, 186.53993678092957
nodes, 20.0, edges, 43.0, epochs, 13, time, 185.23707103729248
nodes, 20.0, edges, 43.0, epochs, 14, time, 184.84591794013977
nodes, 20.0, edges, 43.0, epochs, 15, time, 185.50944089889526
nodes, 20.0, edges, 43.0, epochs, 16, time, 184.68233346939087
nodes, 20.0, edges, 43.0, epochs, 17, time, 186.07937955856323
nodes, 20.0, edges, 43.0, epochs, 18, time, 185.87078881263733
nodes, 20.0, edges, 43.0, epochs, 19, time, 185.39010310173035
nodes, 20.0, edges, 43.0, epochs, 20, time, 186.69285464286804
nodes, 20.0, edges, 43.0, epochs, 21, time, 185.3903534412384
nodes, 20.0, edges, 43.0, epochs, 22, time, 186.07618260383606
nodes, 20.0, edges, 43.0, epochs, 23, time, 186.25842571258545
nodes, 20.0, edges, 43.0, epochs, 24, time, 195.8923442363739
nodes, 20.0, edges, 43.0, epochs, 25, time, 194.03231596946716
nodes, 20.0, edges, 43.0, epochs, 26, time, 187.3264000415802
nodes, 20.0, edges, 43.0, epochs, 27, time, 197.54195857048035
nodes, 20.0, edges, 43.0, epochs, 28, time, 187.31753540039062
nodes, 20.0, edges, 43.0, epochs, 29, time, 187.46745347976685
nodes, 20.0, edges, 37.0, epochs, -1, time, 125.36017727851868
nodes, 20.0, edges, 37.0, epochs, 0, time, 130.1198856830597
nodes, 20.0, edges, 37.0, epochs, 1, time, 129.31170988082886
nodes, 20.0, edges, 37.0, epochs, 2, time, 129.62382197380066
nodes, 20.0, edges, 37.0, epochs, 3, time, 129.15724349021912
nodes, 20.0, edges, 37.0, epochs, 4, time, 129.1708381175995
nodes, 20.0, edges, 37.0, epochs, 5, time, 128.62987327575684
nodes, 20.0, edges, 37.0, epochs, 6, time, 128.89023518562317
nodes, 20.0, edges, 37.0, epochs, 7, time, 129.21422219276428
nodes, 20.0, edges, 37.0, epochs, 8, time, 129.38212823867798
nodes, 20.0, edges, 37.0, epochs, 9, time, 129.27763772010803
nodes, 20.0, edges, 37.0, epochs, 10, time, 129.34538912773132
nodes, 20.0, edges, 37.0, epochs, 11, time, 129.1112871170044
nodes, 20.0, edges, 37.0, epochs, 12, time, 129.46385669708252
nodes, 20.0, edges, 37.0, epochs, 13, time, 129.47159028053284
nodes, 20.0, edges, 37.0, epochs, 14, time, 129.8911108970642
nodes, 20.0, edges, 37.0, epochs, 15, time, 129.94724440574646
nodes, 20.0, edges, 37.0, epochs, 16, time, 129.73438215255737
nodes, 20.0, edges, 37.0, epochs, 17, time, 129.8338267803192
nodes, 20.0, edges, 37.0, epochs, 18, time, 129.6850528717041
nodes, 20.0, edges, 37.0, epochs, 19, time, 130.1066882610321
nodes, 20.0, edges, 37.0, epochs, 20, time, 129.92199778556824
nodes, 20.0, edges, 37.0, epochs, 21, time, 129.61489534378052
nodes, 20.0, edges, 37.0, epochs, 22, time, 129.47974634170532
nodes, 20.0, edges, 37.0, epochs, 23, time, 129.30309391021729
nodes, 20.0, edges, 37.0, epochs, 24, time, 130.1769940853119
nodes, 20.0, edges, 37.0, epochs, 25, time, 129.97384786605835
nodes, 20.0, edges, 37.0, epochs, 26, time, 129.85055780410767
nodes, 20.0, edges, 37.0, epochs, 27, time, 129.73984575271606
nodes, 20.0, edges, 37.0, epochs, 28, time, 130.1525411605835
nodes, 20.0, edges, 37.0, epochs, 29, time, 129.52915382385254
nodes, 20.0, edges, 42.0, epochs, -1, time, 159.76935124397278
nodes, 20.0, edges, 42.0, epochs, 0, time, 175.79084539413452
nodes, 20.0, edges, 42.0, epochs, 1, time, 178.65856790542603
nodes, 20.0, edges, 42.0, epochs, 2, time, 175.64594101905823
nodes, 20.0, edges, 42.0, epochs, 3, time, 174.36279773712158
nodes, 20.0, edges, 42.0, epochs, 4, time, 173.72567105293274
nodes, 20.0, edges, 42.0, epochs, 5, time, 174.19518399238586
nodes, 20.0, edges, 42.0, epochs, 6, time, 173.52589225769043
nodes, 20.0, edges, 42.0, epochs, 7, time, 172.13751363754272
nodes, 20.0, edges, 42.0, epochs, 8, time, 170.0987832546234
nodes, 20.0, edges, 42.0, epochs, 9, time, 168.49476099014282
nodes, 20.0, edges, 42.0, epochs, 10, time, 168.32998204231262
nodes, 20.0, edges, 42.0, epochs, 11, time, 167.11014366149902
nodes, 20.0, edges, 42.0, epochs, 12, time, 166.90839314460754
nodes, 20.0, edges, 42.0, epochs, 13, time, 166.1891107559204
nodes, 20.0, edges, 42.0, epochs, 14, time, 166.64756751060486
nodes, 20.0, edges, 42.0, epochs, 15, time, 166.1575584411621
nodes, 20.0, edges, 42.0, epochs, 16, time, 167.03983283042908
nodes, 20.0, edges, 42.0, epochs, 17, time, 165.92466187477112
nodes, 20.0, edges, 42.0, epochs, 18, time, 165.53192806243896
nodes, 20.0, edges, 42.0, epochs, 19, time, 165.10099864006042
nodes, 20.0, edges, 42.0, epochs, 20, time, 165.2190284729004
nodes, 20.0, edges, 42.0, epochs, 21, time, 165.83984923362732
nodes, 20.0, edges, 42.0, epochs, 22, time, 165.26855278015137
nodes, 20.0, edges, 42.0, epochs, 23, time, 165.84121370315552
nodes, 20.0, edges, 42.0, epochs, 24, time, 165.47004199028015
nodes, 20.0, edges, 42.0, epochs, 25, time, 165.60919570922852
nodes, 20.0, edges, 42.0, epochs, 26, time, 165.37748456001282
nodes, 20.0, edges, 42.0, epochs, 27, time, 166.20220160484314
nodes, 20.0, edges, 42.0, epochs, 28, time, 165.94316506385803
nodes, 20.0, edges, 42.0, epochs, 29, time, 166.32477569580078
nodes, 20.0, edges, 43.0, epochs, -1, time, 185.64308881759644
nodes, 20.0, edges, 43.0, epochs, 0, time, 204.57735300064087
nodes, 20.0, edges, 43.0, epochs, 1, time, 206.49764323234558
nodes, 20.0, edges, 43.0, epochs, 2, time, 206.61659574508667
nodes, 20.0, edges, 43.0, epochs, 3, time, 204.24932599067688
nodes, 20.0, edges, 43.0, epochs, 4, time, 194.15821838378906
nodes, 20.0, edges, 43.0, epochs, 5, time, 206.9823272228241
nodes, 20.0, edges, 43.0, epochs, 6, time, 195.7928307056427
nodes, 20.0, edges, 43.0, epochs, 7, time, 198.7687873840332
nodes, 20.0, edges, 43.0, epochs, 8, time, 195.0017364025116
nodes, 20.0, edges, 43.0, epochs, 9, time, 196.76876211166382
nodes, 20.0, edges, 43.0, epochs, 10, time, 206.00548601150513
nodes, 20.0, edges, 43.0, epochs, 11, time, 197.12615728378296
nodes, 20.0, edges, 43.0, epochs, 12, time, 197.19288182258606
nodes, 20.0, edges, 43.0, epochs, 13, time, 197.3204152584076
nodes, 20.0, edges, 43.0, epochs, 14, time, 198.38639903068542
nodes, 20.0, edges, 43.0, epochs, 15, time, 208.84014678001404
nodes, 20.0, edges, 43.0, epochs, 16, time, 199.68479180335999
nodes, 20.0, edges, 43.0, epochs, 17, time, 205.06563591957092
nodes, 20.0, edges, 43.0, epochs, 18, time, 198.92929124832153
nodes, 20.0, edges, 43.0, epochs, 19, time, 198.3105206489563
nodes, 20.0, edges, 43.0, epochs, 20, time, 198.6452236175537
nodes, 20.0, edges, 43.0, epochs, 21, time, 198.1824812889099
nodes, 20.0, edges, 43.0, epochs, 22, time, 202.08838486671448
nodes, 20.0, edges, 43.0, epochs, 23, time, 198.49282932281494
nodes, 20.0, edges, 43.0, epochs, 24, time, 198.40627574920654
nodes, 20.0, edges, 43.0, epochs, 25, time, 197.44070839881897
nodes, 20.0, edges, 43.0, epochs, 26, time, 207.10884857177734
nodes, 20.0, edges, 43.0, epochs, 27, time, 198.00729370117188
nodes, 20.0, edges, 43.0, epochs, 28, time, 203.3352768421173
nodes, 20.0, edges, 43.0, epochs, 29, time, 198.8667459487915
nodes, 20.0, edges, 48.0, epochs, -1, time, 222.22631525993347
nodes, 20.0, edges, 48.0, epochs, 0, time, 221.5176818370819
nodes, 20.0, edges, 48.0, epochs, 1, time, 222.52830862998962
nodes, 20.0, edges, 48.0, epochs, 2, time, 215.8653221130371
nodes, 20.0, edges, 48.0, epochs, 3, time, 212.4057102203369
nodes, 20.0, edges, 48.0, epochs, 4, time, 214.34962344169617
nodes, 20.0, edges, 48.0, epochs, 5, time, 214.7811508178711
nodes, 20.0, edges, 48.0, epochs, 6, time, 216.5344533920288
nodes, 20.0, edges, 48.0, epochs, 7, time, 218.99322533607483
nodes, 20.0, edges, 48.0, epochs, 8, time, 218.91174817085266
nodes, 20.0, edges, 48.0, epochs, 9, time, 219.55377864837646
