nodes, 15.0, edges, 31.0, epochs, -1, time, 85.19662237167358
nodes, 15.0, edges, 31.0, epochs, 0, time, 80.00558471679688
nodes, 15.0, edges, 31.0, epochs, 1, time, 81.18620705604553
nodes, 15.0, edges, 31.0, epochs, 2, time, 86.78017830848694
nodes, 15.0, edges, 31.0, epochs, 3, time, 120.4407045841217
nodes, 15.0, edges, 31.0, epochs, 4, time, 102.77424669265747
nodes, 15.0, edges, 31.0, epochs, 5, time, 101.10515093803406
nodes, 15.0, edges, 31.0, epochs, 6, time, 120.51940512657166
nodes, 15.0, edges, 31.0, epochs, 7, time, 123.99650740623474
nodes, 15.0, edges, 31.0, epochs, 8, time, 127.30366134643555
nodes, 15.0, edges, 31.0, epochs, 9, time, 127.84852957725525
nodes, 15.0, edges, 31.0, epochs, 10, time, 119.45536208152771
nodes, 15.0, edges, 31.0, epochs, 11, time, 125.35935592651367
nodes, 15.0, edges, 31.0, epochs, 12, time, 123.3554675579071
nodes, 15.0, edges, 31.0, epochs, 13, time, 129.94370937347412
nodes, 15.0, edges, 31.0, epochs, 14, time, 129.9661033153534
nodes, 15.0, edges, 31.0, epochs, 15, time, 124.52948451042175
nodes, 15.0, edges, 31.0, epochs, 16, time, 136.45729660987854
nodes, 15.0, edges, 31.0, epochs, 17, time, 123.29646182060242
nodes, 15.0, edges, 31.0, epochs, 18, time, 128.37867641448975
nodes, 15.0, edges, 31.0, epochs, 19, time, 124.11526942253113
nodes, 15.0, edges, 30.0, epochs, -1, time, 877.3484351634979
nodes, 15.0, edges, 30.0, epochs, 0, time, 2116.048572778702
nodes, 15.0, edges, 30.0, epochs, 1, time, 1844.6517848968506
nodes, 15.0, edges, 30.0, epochs, 2, time, 1897.3687176704407
nodes, 15.0, edges, 30.0, epochs, 3, time, 2776.611911535263
nodes, 15.0, edges, 30.0, epochs, 4, time, 4366.831805944443
nodes, 15.0, edges, 30.0, epochs, 5, time, 4646.357948064804
nodes, 15.0, edges, 30.0, epochs, 6, time, 4371.224219560623
nodes, 15.0, edges, 30.0, epochs, 7, time, 3487.113070011139
nodes, 15.0, edges, 30.0, epochs, 8, time, 4703.294293642044
nodes, 15.0, edges, 30.0, epochs, 9, time, 3505.4648673534393
nodes, 15.0, edges, 30.0, epochs, 10, time, 4686.655693292618
nodes, 15.0, edges, 30.0, epochs, 11, time, 3863.762070417404
nodes, 15.0, edges, 30.0, epochs, 12, time, 3735.9047524929047
nodes, 15.0, edges, 30.0, epochs, 13, time, 4529.232045173645
nodes, 15.0, edges, 30.0, epochs, 14, time, 3457.211359977722
nodes, 15.0, edges, 30.0, epochs, 15, time, 4031.575436115265
nodes, 15.0, edges, 30.0, epochs, 16, time, 3782.404510498047
nodes, 15.0, edges, 30.0, epochs, 17, time, 3264.7679312229156
nodes, 15.0, edges, 30.0, epochs, 18, time, 4162.756894826889
