nodes, 15.0, edges, 24.0, epochs, -1, time, 33.16014885902405
nodes, 15.0, edges, 24.0, epochs, 0, time, 42.88138794898987
nodes, 15.0, edges, 24.0, epochs, 1, time, 49.596513509750366
nodes, 15.0, edges, 24.0, epochs, -1, time, 35.30366086959839
nodes, 15.0, edges, 24.0, epochs, 0, time, 44.18739151954651
nodes, 15.0, edges, 24.0, epochs, 1, time, 48.21351671218872
nodes, 15.0, edges, 24.0, epochs, -1, time, 36.66132044792175
nodes, 15.0, edges, 24.0, epochs, 0, time, 48.88632249832153
nodes, 15.0, edges, 24.0, epochs, 1, time, 46.525675535202026
nodes, 15.0, edges, 24.0, epochs, -1, time, 34.86223316192627
nodes, 15.0, edges, 24.0, epochs, 0, time, 42.64846062660217
nodes, 15.0, edges, 24.0, epochs, -1, time, 36.51245737075806
nodes, 15.0, edges, 24.0, epochs, 0, time, 48.37432599067688
nodes, 15.0, edges, 24.0, epochs, 1, time, 52.040295362472534
nodes, 15.0, edges, 24.0, epochs, -1, time, 36.54405903816223
nodes, 15.0, edges, 24.0, epochs, 0, time, 54.721760988235474
nodes, 15.0, edges, 24.0, epochs, 1, time, 50.99606275558472
nodes, 15.0, edges, 24.0, epochs, -1, time, 37.11309003829956
nodes, 15.0, edges, 24.0, epochs, 0, time, 48.998384952545166
nodes, 15.0, edges, 24.0, epochs, 1, time, 52.51107716560364
nodes, 15.0, edges, 24.0, epochs, 2, time, 39.0435049533844
nodes, 15.0, edges, 24.0, epochs, 3, time, 41.20457196235657
nodes, 15.0, edges, 24.0, epochs, 4, time, 44.29179668426514
nodes, 15.0, edges, 24.0, epochs, 5, time, 43.984893798828125
nodes, 15.0, edges, 24.0, epochs, 6, time, 45.08039689064026
nodes, 15.0, edges, 24.0, epochs, 7, time, 45.129236459732056
nodes, 15.0, edges, 24.0, epochs, 8, time, 45.101778745651245
nodes, 15.0, edges, 24.0, epochs, 9, time, 43.11838936805725
nodes, 15.0, edges, 24.0, epochs, 10, time, 41.13921880722046
nodes, 15.0, edges, 24.0, epochs, 11, time, 42.96795582771301
nodes, 15.0, edges, 24.0, epochs, 12, time, 42.09078335762024
nodes, 15.0, edges, 24.0, epochs, 13, time, 42.21458673477173
nodes, 15.0, edges, 24.0, epochs, 14, time, 42.15388059616089
nodes, 15.0, edges, 24.0, epochs, 15, time, 41.62438726425171
nodes, 15.0, edges, 24.0, epochs, 16, time, 41.78320527076721
nodes, 15.0, edges, 24.0, epochs, 17, time, 43.088709592819214
nodes, 15.0, edges, 24.0, epochs, 18, time, 41.77841663360596
nodes, 15.0, edges, 24.0, epochs, 19, time, 41.900879859924316
nodes, 15.0, edges, 33.0, epochs, -1, time, 101.30303120613098
nodes, 15.0, edges, 33.0, epochs, 0, time, 118.67945265769958
