Random seed, 12,training loss, inf, training defu, -2.897916282926287, training opt, -2.751030581338065validating loss, inf, validating defu, -2.845008611679077, validating opt, -2.744065999984741,testing loss, 123.6225471496582, testing defu, -3.0140063762664795, testing opt, -2.8857128620147705
Random seed, 12,training loss, 14.177555084228516, training defu, -3.6859214987073625, training opt, -2.751030581338065, validating loss, 14.14616584777832, validating defu, -3.4828481674194336, validating opt, -2.744065999984741,testing loss, 11.23316478729248, testing defu, -3.781901001930237, testing opt, -2.8857128620147705
Random seed, 12,training loss, 14.177555084228516, training defu, -3.6859214987073625, training opt, -2.751030581338065, validating loss, 14.14616584777832, validating defu, -3.4828481674194336, validating opt, -2.744065999984741,testing loss, 11.23316478729248, testing defu, -3.781901001930237, testing opt, -2.8857128620147705
Random seed, 12,training loss, 14.177555084228516, training defu, -3.6859214987073625, training opt, -2.751030581338065, validating loss, 14.14616584777832, validating defu, -3.4828481674194336, validating opt, -2.744065999984741,testing loss, 11.23316478729248, testing defu, -3.781901001930237, testing opt, -2.8857128620147705
