Epoch, 0
training loss,0.0,0.0006075670533972746
training obj,0.03969026534451646,0.00045220190660168424
validating loss,0.0006002257180414896,0.0006002257180414896
validating obj,0.0010121789664903945,0.0010121789664903945
testing loss,0.0,0.0005016353773682001
testing obj,0.03760137339403112,0.000506391020444943
