mode, epoch, average loss, defender utility,
training,10,0.902451927,-1.723799277,0
validating,10,1.048522043,-1.753977406,0
testing,10,0.971689975,-1.6696105,0
training,11,0.886553529,-1.737674771,0
validating,11,1.042811251,-1.739254278,0
testing,11,0.964250219,-1.669048357,0
training,12,0.871318368,-1.731528034,0
validating,12,1.043778849,-1.711330819,0
testing,12,0.96238867,-1.650821644,0
training,13,0.857608335,-1.720862699,0
validating,13,1.051781273,-1.666044348,0
testing,13,0.967624414,-1.650935653,0
training,14,0.846940429,-1.719747562,0
validating,14,1.00870347,-1.702382535,0
testing,14,0.930239975,-1.647764122,0
training,15,0.821412441,-1.725618215,0
validating,15,1.021529961,-1.690686333,0
testing,15,0.938825142,-1.6679748,0
training,16,0.807850831,-1.71068436,0
validating,16,0.978294516,-1.649385512,0
testing,16,0.901099777,-1.647115797,0
training,17,0.78592656,-1.735308938,0
validating,17,0.939089918,-1.670754081,0
testing,17,0.868502831,-1.597502771,0
training,18,0.766387095,-1.735654739,0
validating,18,0.92117734,-1.65621773,0
testing,18,0.849472356,-1.609657091,0
training,19,0.738753523,-1.733275362,0
validating,19,0.891527271,-1.643188322,0
testing,19,0.822681153,-1.573581231,0
mode, epoch, average loss, defender utility,
training,-1,0.070193792,-1.672876602,0
validating,-1,0.077609669,-1.700189084,0
testing,-1,0.070460619,-2.176602228,0
training,0,2.221606016,-4.254227856,0
validating,0,2.190748215,-4.232713032,0
testing,0,2.129071605,-4.280071402,0
training,1,2.171812541,-4.224784538,0
validating,1,1.98414197,-4.097677612,0
testing,1,1.919253945,-4.131570816,0
training,2,1.237645151,-3.503946481,0
validating,2,0.443868443,-2.74604907,0
testing,2,0.419454554,-3.171770072,0
training,3,0.207148766,-2.111772604,0
validating,3,0.159116492,-1.764917862,0
testing,3,0.170530158,-2.633386668,0
training,4,0.144046127,-1.798212615,0
validating,4,0.140664258,-1.662131804,0
testing,4,0.157215603,-2.612161178,0
training,5,0.133656449,-1.75442374,0
validating,5,0.13744226,-1.644252098,0
testing,5,0.147767567,-2.662955159,0
training,6,0.125110169,-1.740335995,0
validating,6,0.126821833,-1.59493646,0
testing,6,0.139241809,-2.57435269,0
training,7,0.118308274,-1.71401012,0
validating,7,0.122358682,-1.499055147,0
testing,7,0.130535452,-2.558891292,0
