mode, epoch, average loss, defender utility,
training,10,1.925788488,-1.587080896,0
validating,10,2.050973034,-1.589087105,0
testing,10,1.934647775,-1.602547944,0
training,11,1.937919194,-1.57664205,0
validating,11,1.881897593,-1.589276361,0
testing,11,1.776213932,-1.591426337,0
training,12,1.643178511,-1.581122858,0
validating,12,1.896123075,-1.60584178,0
testing,12,1.783075547,-1.596966398,0
training,13,1.816759518,-1.571487301,0
validating,13,1.901149035,-1.598897004,0
testing,13,1.787741256,-1.598275852,0
training,14,1.821201127,-1.567536436,0
validating,14,1.902710915,-1.601687384,0
testing,14,1.7890095,-1.598336446,0
training,15,1.768059731,-1.567942822,0
validating,15,1.85202446,-1.607855034,0
testing,15,1.741988277,-1.585018933,0
training,16,1.765297556,-1.5677845,0
validating,16,1.857777596,-1.607262707,0
testing,16,1.747041488,-1.583367276,0
training,17,1.754456084,-1.568964645,0
validating,17,1.83829875,-1.605866313,0
testing,17,1.728867722,-1.582522774,0
training,18,1.750351899,-1.567956643,0
validating,18,1.837886477,-1.603316164,0
testing,18,1.728420067,-1.582719958,0
training,19,1.750124822,-1.568221412,0
validating,19,1.838333702,-1.598567915,0
testing,19,1.728657174,-1.580943918,0
mode, epoch, average loss, defender utility,
training,-1,0.070193802,-1.672656128,0
validating,-1,0.077609657,-1.700215703,0
testing,-1,0.070460613,-2.184823686,0
training,0,2.221605996,-4.254228156,0
validating,0,2.190748239,-4.232712936,0
testing,0,2.129071605,-4.280071163,0
training,1,2.182516173,-4.230689948,0
validating,1,2.028292131,-4.116897583,0
testing,1,1.962209463,-4.175857925,0
training,2,1.38973664,-3.498961428,0
validating,2,0.681254888,-2.473547649,0
testing,2,0.674507433,-3.084342647,0
training,3,0.401736017,-2.332306669,0
validating,3,0.221888387,-1.906342316,0
testing,3,0.328368703,-2.818564735,0
training,4,0.232119197,-2.094439101,0
validating,4,0.178246012,-1.884314483,0
testing,4,0.26444175,-2.736941922,0
training,5,0.22080346,-2.047023472,0
validating,5,0.16447856,-1.862431258,0
testing,5,0.226773958,-2.748655115,0
training,6,0.174034451,-1.969214871,0
validating,6,0.130478719,-1.620117772,0
testing,6,0.180590843,-2.691842304,0
training,7,0.151792797,-1.861412399,0
validating,7,0.141652894,-1.640262491,0
testing,7,0.165881862,-2.630750841,0
training,8,0.143915296,-1.801127612,0
validating,8,0.160438807,-1.758541584,0
testing,8,0.165397075,-2.613939894,0
training,9,0.139924553,-1.789855081,0
validating,9,0.15178401,-1.657274777,0
testing,9,0.159990233,-2.567807622,0
training,10,0.136851914,-1.774820985,0
validating,10,0.140871755,-1.429925001,0
testing,10,0.16038674,-2.560120427,0
training,11,0.134503416,-1.792381876,0
validating,11,0.134503524,-1.402702171,0
testing,11,0.157921958,-2.567664,0
training,12,0.131627253,-1.804073577,0
validating,12,0.141010487,-1.442384553,0
testing,12,0.160782001,-2.565669419,0
training,13,0.133248792,-1.759290048,0
validating,13,0.141537677,-1.446596241,0
testing,13,0.160494098,-2.564387321,0
training,14,0.133214283,-1.759197018,0
validating,14,0.142072749,-1.447422689,0
testing,14,0.161080279,-2.566353576,0
training,15,0.133564024,-1.763275128,0
validating,15,0.142729614,-1.447834402,0
testing,15,0.162002764,-2.570378835,0
training,16,0.132854748,-1.763345179,0
validating,16,0.142483289,-1.453127784,0
testing,16,0.16045437,-2.565024197,0
training,17,0.132429185,-1.758954624,0
validating,17,0.142773504,-1.455931246,0
testing,17,0.160240713,-2.564509973,0
training,18,0.133139642,-1.772382697,0
validating,18,0.141840136,-1.439482009,0
testing,18,0.164774059,-2.595432446,0
training,19,0.134883582,-1.781880183,0
validating,19,0.141797801,-1.43830539,0
testing,19,0.165176293,-2.599715278,0
mode, epoch, average loss, defender utility,
training,-1,0.200105046,-1.042367209,0
validating,-1,0.220199668,-0.968710725,0
testing,-1,0.189428753,-1.033062595,0
training,0,3.756085396,-4.711735657,0
validating,0,3.725033236,-4.705595398,0
testing,0,3.770028019,-4.729731846,0
training,1,3.730311176,-4.683842632,0
validating,1,3.624732256,-4.570797253,0
testing,1,3.657308674,-4.575369787,0
training,2,3.169913639,-3.782801843,0
validating,2,2.126106262,-2.082816517,0
testing,2,1.972014081,-1.809718928,0
training,3,1.109727217,-1.267942737,0
validating,3,0.909350681,-1.347868931,0
testing,3,0.676964092,-1.018935695,0
training,4,0.644027278,-1.112907349,0
validating,4,0.740194345,-1.357713431,0
testing,4,0.509158587,-1.014415523,0
training,5,0.577417475,-1.078618288,0
validating,5,0.68259418,-1.37208049,0
testing,5,0.459739494,-1.03043332,0
training,6,0.530205687,-1.05697331,0
validating,6,0.622344422,-1.428700936,0
testing,6,0.411373103,-1.059647559,0
training,7,0.515451506,-1.066927897,0
validating,7,0.594858718,-1.377146304,0
testing,7,0.401634324,-1.050686269,0
training,8,0.483250202,-1.031335919,0
validating,8,0.565982842,-1.334658235,0
testing,8,0.387238914,-1.051937895,0
training,9,0.466374047,-1.027262412,0
validating,9,0.570455956,-1.290888813,0
testing,9,0.411001599,-1.009092472,0
training,10,0.48159384,-1.032756764,0
validating,10,0.529866934,-1.253015918,0
testing,10,0.376917255,-1.03080598,0
training,11,0.444763064,-1.019616877,0
validating,11,0.54684999,-1.200010854,0
testing,11,0.403638345,-1.004223517,0
training,12,0.451097178,-1.023197204,0
validating,12,0.502806497,-1.215903494,0
testing,12,0.363194925,-1.025522463,0
training,13,0.435021909,-1.004150218,0
validating,13,0.499842763,-1.212177125,0
testing,13,0.361271542,-1.026713963,0
training,14,0.431686998,-1.001639986,0
validating,14,0.495383644,-1.209830214,0
testing,14,0.356867993,-1.032075213,0
training,15,0.429855092,-1.002006702,0
validating,15,0.492203116,-1.207536836,0
testing,15,0.353801209,-1.035648356,0
training,16,0.428207989,-1.001171035,0
validating,16,0.490920663,-1.204834256,0
testing,16,0.353395885,-1.035056072,0
training,17,0.426831103,-1.000950769,0
validating,17,0.487740636,-1.202454691,0
testing,17,0.35040912,-1.039421371,0
training,18,0.425169283,-1.000447143,0
validating,18,0.486302376,-1.199609017,0
testing,18,0.349847358,-1.039372192,0
training,19,0.424614464,-0.9999585,0
validating,19,0.485249305,-1.19528579,0
testing,19,0.350420731,-1.036224892,0
mode, epoch, average loss, defender utility,
training,-1,0.01529253,-0.734357466,0
validating,-1,0.024969328,-1.208120817,0
testing,-1,0.011599608,-0.671474286,0
training,0,1.576895108,-4.911150537,0
validating,0,1.537718511,-4.9423563,0
testing,0,1.567743051,-4.916586494,0
training,1,1.556490248,-4.868181338,0
validating,1,1.417107749,-4.700237274,0
testing,1,1.437577116,-4.756242895,0
training,2,1.16759613,-4.268100337,0
validating,2,0.569332403,-3.553900003,0
testing,2,0.583708519,-3.147648168,0
training,3,0.299562123,-2.386325186,0
validating,3,0.032443032,-1.117791313,0
testing,3,0.098497752,-0.931032169,0
training,4,0.086950948,-1.064606996,0
validating,4,0.026557026,-1.068085718,0
testing,4,0.076912304,-0.698641596,0
training,5,0.072543665,-0.897948706,0
validating,5,0.031362697,-1.186507261,0
testing,5,0.073980037,-0.644013,0
training,6,0.072185884,-0.878081904,0
validating,6,0.038276535,-1.335130858,0
testing,6,0.074645844,-0.578958412,0
training,7,0.073708154,-0.864343965,0
validating,7,0.043228569,-1.449321395,0
testing,7,0.075192604,-0.5356739,0
training,8,0.074069398,-0.850113547,0
validating,8,0.049089472,-1.589650363,0
testing,8,0.076949629,-0.500209286,0
training,9,0.077229964,-0.834301006,0
validating,9,0.054995902,-1.735309285,0
testing,9,0.078116172,-0.468607454,0
training,10,0.077937924,-0.831187187,0
validating,10,0.059924794,-1.852621108,0
testing,10,0.079629312,-0.454020522,0
training,11,0.080533473,-0.834580085,0
validating,11,0.06440199,-1.92410782,0
testing,11,0.07983227,-0.438632501,0
training,12,0.079472141,-0.835409304,0
validating,12,0.063150758,-1.923093158,0
testing,12,0.078823259,-0.441636904,0
training,13,0.079872244,-0.833456555,0
validating,13,0.063137967,-1.923113358,0
testing,13,0.07906511,-0.441646497,0
training,14,0.07972915,-0.833781253,0
validating,14,0.063157743,-1.923010713,0
testing,14,0.078739295,-0.441668857,0
training,15,0.079542413,-0.83291566,0
validating,15,0.062708184,-1.912358505,0
testing,15,0.078543921,-0.442950327,0
training,16,0.079515024,-0.831736779,0
validating,16,0.062605675,-1.910109764,0
testing,16,0.078629501,-0.443029303,0
training,17,0.079512065,-0.831858788,0
validating,17,0.062632713,-1.910986841,0
testing,17,0.07859693,-0.443013177,0
training,18,0.07953353,-0.831714207,0
validating,18,0.062772148,-1.914048165,0
testing,18,0.078595505,-0.442638133,0
training,19,0.079483586,-0.831556744,0
validating,19,0.062591574,-1.910015255,0
testing,19,0.078576121,-0.443012506,0
