mode, epoch, average loss, defender utility,
training,-1,0.353086012,-2.434575421,0
validating,-1,0.356050491,-2.46387198,0
testing,-1,0.356418055,-2.92541014,0
training,0,2.997135237,-3.803641796,0
validating,0,2.917189598,-3.849529552,0
testing,0,2.99312253,-3.828271985,0
training,1,2.598383849,-3.646452345,0
validating,1,1.715577173,-3.08733716,0
testing,1,1.76290611,-3.02307682,0
training,2,1.365703722,-2.545778441,0
validating,2,1.219300222,-2.797595787,0
testing,2,1.291553843,-2.645152748,0
training,3,1.268480856,-2.491409213,0
validating,3,1.18251667,-2.725229359,0
testing,3,1.231554115,-2.606778693,0
training,4,1.129502988,-2.484522905,0
validating,4,1.10237236,-2.712655354,0
testing,4,1.140613687,-2.598796225,0
training,5,1.046129114,-2.466813622,0
validating,5,0.95248313,-2.712951708,0
testing,5,0.980504072,-2.588490748,0
training,6,0.859038663,-2.417657474,0
validating,6,0.670628834,-2.716798782,0
testing,6,0.693207282,-2.579886317,0
training,7,0.597236892,-2.417639,0
validating,7,0.630340958,-2.89192121,0
testing,7,0.622998577,-2.94171567,0
training,8,0.515050742,-2.405596822,0
validating,8,0.441951752,-2.306198311,0
testing,8,0.441134864,-2.767195511,0
training,9,0.484741896,-2.441296533,0
validating,9,0.428901434,-2.29456811,0
testing,9,0.430615813,-2.787919188,0
training,10,0.485172408,-2.443659588,0
validating,10,0.490567136,-2.541443586,0
testing,10,0.484067339,-2.697821093,0
training,11,0.49041166,-2.391170297,0
validating,11,0.455186391,-2.337920094,0
testing,11,0.450351959,-2.682895064,0
training,12,0.490961719,-2.444421721,0
validating,12,0.495268154,-2.573758221,0
testing,12,0.484347445,-2.784184098,0
training,13,0.50414519,-2.465913286,0
validating,13,0.477425718,-2.518404579,0
testing,13,0.467891341,-2.741047215,0
training,14,0.483073531,-2.380384541,0
validating,14,0.460660815,-2.34707607,0
testing,14,0.452767414,-2.712772775,0
training,15,0.478877977,-2.356685587,0
validating,15,0.459827924,-2.348029125,0
testing,15,0.452430838,-2.70294137,0
training,16,0.46935935,-2.341685106,0
validating,16,0.45194478,-2.32340306,0
testing,16,0.445294505,-2.700768113,0
training,17,0.466471921,-2.32894119,0
validating,17,0.454856896,-2.334156859,0
testing,17,0.447854882,-2.69980588,0
training,18,0.465931252,-2.341577995,0
validating,18,0.4525213,-2.324414229,0
testing,18,0.44549256,-2.70272429,0
training,19,0.469225379,-2.338027389,0
validating,19,0.453822541,-2.331769633,0
testing,19,0.446741265,-2.699373722,0
mode, epoch, average loss, defender utility,
training,-1,0.415562579,-1.541085913,0
validating,-1,0.448922348,-1.308810389,0
