mode, epoch, average loss, defender utility,
training,-1,0.182378777,-3.103935471,0
validating,-1,0.161695218,-2.073217213,0
testing,-1,0.190613371,-2.424711853,0
training,0,3.33847486,-4.588671848,0
validating,0,3.434811783,-4.581223011,0
testing,0,3.367268705,-4.667914104,0
training,1,3.137194695,-4.630203806,0
validating,1,2.523853111,-4.707802963,0
testing,1,2.512204695,-4.742934084,0
training,2,1.569805217,-4.291243274,0
validating,2,1.411159945,-3.328308964,0
testing,2,1.334093511,-4.039682317,0
training,3,1.218616038,-3.611390696,0
validating,3,1.257577014,-3.429337597,0
testing,3,1.212558079,-3.7099931,0
training,4,1.146590388,-3.572473778,0
validating,4,1.175553322,-3.30371213,0
testing,4,1.126017618,-3.665467227,0
training,5,1.0082451,-3.471815627,0
validating,5,0.97218293,-3.197046852,0
testing,5,0.937325335,-3.525174773,0
training,6,0.791849626,-3.405897344,0
validating,6,0.678256822,-2.982754457,0
testing,6,0.67245025,-3.188987541,0
training,7,0.585921539,-3.31985404,0
validating,7,0.499190652,-2.812318647,0
testing,7,0.512805933,-2.990514088,0
training,8,0.502951246,-3.334382123,0
validating,8,0.472842503,-3.067641485,0
testing,8,0.483517557,-3.044926357,0
training,9,0.472426226,-3.338846321,0
validating,9,0.422258115,-2.821647918,0
testing,9,0.446560544,-2.899839163,0
training,10,0.440210094,-3.32843125,0
validating,10,0.382943165,-2.780230987,0
testing,10,0.417900395,-2.785931093,0
training,11,0.421137896,-3.267597379,0
validating,11,0.358198714,-2.774802864,0
testing,11,0.402636075,-2.795354182,0
training,12,0.390685541,-3.311808479,0
validating,12,0.328354907,-2.722238195,0
testing,12,0.381682098,-2.744055444,0
training,13,0.381448291,-3.229416095,0
validating,13,0.303342259,-2.6321998,0
testing,13,0.365632015,-2.593664002,0
training,14,0.345742923,-3.25041471,0
validating,14,0.282723808,-2.661242509,0
testing,14,0.344191462,-2.595847273,0
training,15,0.323766054,-3.183303952,0
validating,15,0.285307443,-2.777109253,0
testing,15,0.339957815,-2.740597451,0
training,16,0.307003696,-3.151201223,0
validating,16,0.276473415,-2.78197062,0
testing,16,0.332092518,-2.73036626,0
training,17,0.29846828,-3.183285646,0
validating,17,0.242791128,-2.723357546,0
testing,17,0.301935816,-2.507664979,0
training,18,0.282134636,-3.127642245,0
validating,18,0.234290051,-2.704741323,0
testing,18,0.292448199,-2.474862325,0
training,19,0.270643764,-3.155657065,0
validating,19,0.242947781,-2.653535724,0
testing,19,0.30305779,-2.439532435,0
