mode, epoch, average loss, defender utility,
training,-1,0.353086029,-2.434966277,0
validating,-1,0.356050491,-2.466084266,0
testing,-1,0.356418055,-2.9253793,0
training,0,2.99713506,-3.803703656,0
validating,0,2.917189693,-3.849524164,0
testing,0,2.99312253,-3.828272009,0
training,1,2.551763695,-3.601165376,0
validating,1,1.650217152,-2.941067076,0
testing,1,1.698254025,-2.870059133,0
training,2,1.353647116,-2.537669706,0
validating,2,1.160760212,-2.954328966,0
testing,2,1.255646956,-2.764574265,0
training,3,0.990103122,-2.475555781,0
validating,3,0.660918403,-2.824593544,0
testing,3,0.706186539,-2.657130599,0
training,4,0.517738618,-2.352930059,0
validating,4,0.441082621,-2.318331335,0
testing,4,0.451681787,-2.892038894,0
training,5,0.44436889,-2.524546758,0
validating,5,0.419498968,-2.291584593,0
testing,5,0.421102864,-2.878921676,0
training,6,0.430352443,-2.444751801,0
validating,6,0.416256714,-2.264703327,0
testing,6,0.405245703,-2.883335042,0
training,7,0.421084959,-2.488697893,0
validating,7,0.408825517,-2.294210346,0
testing,7,0.406094295,-2.856129146,0
training,8,0.417954108,-2.425675363,0
validating,8,0.413424444,-2.315025862,0
testing,8,0.414937216,-2.924887991,0
training,9,0.418600648,-2.433543315,0
validating,9,0.40960288,-2.275964996,0
testing,9,0.395625848,-2.877857995,0
training,10,0.416640169,-2.471238778,0
validating,10,0.411721587,-2.234106188,0
testing,10,0.396237463,-2.88293407,0
training,11,0.414088975,-2.463750655,0
validating,11,0.412342548,-2.237071353,0
testing,11,0.396037573,-2.897378206,0
training,12,0.418565474,-2.483079851,0
validating,12,0.409853339,-2.309657793,0
testing,12,0.40781427,-2.87054863,0
training,13,0.418046686,-2.427813096,0
validating,13,0.412685299,-2.232181098,0
testing,13,0.396593577,-2.881283665,0
training,14,0.41924212,-2.44323019,0
validating,14,0.426673222,-2.341427466,0
testing,14,0.43602106,-2.955855489,0
training,15,0.43237318,-2.440728407,0
validating,15,0.407316852,-2.293578757,0
testing,15,0.401840395,-2.858837318,0
training,16,0.41551138,-2.464672259,0
validating,16,0.408184671,-2.298800491,0
testing,16,0.402288073,-2.858420157,0
training,17,0.415592701,-2.433056428,0
validating,17,0.408346438,-2.265241061,0
testing,17,0.395772618,-2.852943468,0
training,18,0.414583792,-2.437843519,0
validating,18,0.40855875,-2.30082062,0
testing,18,0.407785314,-2.864519334,0
training,19,0.416540674,-2.440663331,0
validating,19,0.41092422,-2.29027373,0
testing,19,0.411285657,-2.873472738,0
mode, epoch, average loss, defender utility,
training,-1,0.415562599,-1.541086062,0
validating,-1,0.448922348,-1.308810389,0
testing,-1,0.458342063,-1.345540214,0
training,0,2.827438123,-1.738779817,0
validating,0,2.906200409,-1.714450121,0
testing,0,2.757993627,-1.743741047,0
training,1,2.781357445,-1.718726271,0
validating,1,2.665356064,-1.653034949,0
testing,1,2.535454059,-1.678381562,0
training,2,1.945619478,-1.606374812,0
validating,2,1.314640331,-1.518240166,0
testing,2,1.269198692,-1.572208047,0
training,3,1.213316192,-1.589306375,0
validating,3,1.238657761,-1.516627431,0
testing,3,1.191872489,-1.570805371,0
training,4,1.120386224,-1.564654858,0
validating,4,1.161888456,-1.53124373,0
testing,4,1.111337054,-1.550743318,0
training,5,1.044223668,-1.575869707,0
validating,5,1.102901793,-1.574014771,0
testing,5,1.046842873,-1.539895701,0
training,6,0.981159169,-1.604706826,0
validating,6,1.076993036,-1.623618865,0
testing,6,1.011441123,-1.554503316,0
training,7,0.944918384,-1.617341478,0
validating,7,1.089661026,-1.669313955,0
testing,7,1.012966669,-1.57363826,0
training,8,0.926158571,-1.650724241,0
validating,8,1.070659113,-1.688112497,0
testing,8,0.993787897,-1.569227189,0
training,9,0.909665087,-1.658853118,0
validating,9,1.062079048,-1.702588493,0
testing,9,0.984104836,-1.56759972,0
training,10,0.902451927,-1.667332911,0
validating,10,1.048522043,-1.708338106,0
testing,10,0.971689975,-1.562338412,0
training,11,0.886553529,-1.678738587,0
validating,11,1.042811251,-1.70937891,0
testing,11,0.964250219,-1.563641524,0
training,12,0.871318368,-1.681505403,0
validating,12,1.043778849,-1.736646944,0
testing,12,0.96238867,-1.565535617,0
training,13,0.857608335,-1.664229934,0
validating,13,1.051781273,-1.716761303,0
testing,13,0.967624414,-1.566234052,0
training,14,0.846940429,-1.674954385,0
validating,14,1.00870347,-1.717761594,0
testing,14,0.930239975,-1.553613049,0
training,15,0.821412441,-1.682891911,0
validating,15,1.021529961,-1.721635592,0
testing,15,0.938825142,-1.558467454,0
training,16,0.807850831,-1.659144585,0
validating,16,0.978294516,-1.700125015,0
testing,16,0.901099777,-1.539861092,0
training,17,0.78592656,-1.676475461,0
validating,17,0.939089918,-1.707691318,0
testing,17,0.868502831,-1.517616537,0
training,18,0.766387095,-1.66531608,0
validating,18,0.92117734,-1.693113893,0
testing,18,0.849472356,-1.515924218,0
training,19,0.738753523,-1.671541931,0
validating,19,0.891527271,-1.681123531,0
testing,19,0.822681153,-1.50228743,0
mode, epoch, average loss, defender utility,
training,-1,0.070193792,-1.483899719,0
validating,-1,0.077609669,-1.448093933,0
testing,-1,0.070460619,-2.140308227,0
training,0,2.221606016,-4.189290646,0
validating,0,2.190748215,-4.149199963,0
testing,0,2.129071605,-4.242456245,0
training,1,2.171812541,-4.144075755,0
validating,1,1.98414197,-3.95514679,0
testing,1,1.919253945,-4.068443561,0
training,2,1.237645151,-3.342541647,0
validating,2,0.443868443,-2.476001787,0
testing,2,0.419454554,-2.956081104,0
training,3,0.207148766,-1.824832667,0
validating,3,0.159116492,-1.37475301,0
testing,3,0.170530158,-2.749423568,0
training,4,0.144046127,-1.676013431,0
validating,4,0.140664258,-1.38663516,0
testing,4,0.157215603,-2.61350684,0
training,5,0.133656449,-1.647770642,0
validating,5,0.13744226,-1.459545642,0
testing,5,0.147767567,-2.467495299,0
training,6,0.125110169,-1.652725111,0
validating,6,0.126821833,-1.470576038,0
testing,6,0.139241809,-2.443202288,0
training,7,0.118308274,-1.644841849,0
validating,7,0.122358682,-1.454370132,0
testing,7,0.130535452,-2.399562701,0
training,8,0.111826932,-1.629377138,0
validating,8,0.116786985,-1.462148034,0
testing,8,0.123636261,-2.367684362,0
training,9,0.106904404,-1.627883023,0
validating,9,0.109785629,-1.481280178,0
testing,9,0.115647139,-2.303136121,0
training,10,0.101138187,-1.612757774,0
validating,10,0.102622164,-1.454815704,0
testing,10,0.108606913,-2.285884971,0
training,11,0.096509086,-1.606405117,0
validating,11,0.098504896,-1.481027991,0
testing,11,0.102950744,-2.280360202,0
training,12,0.093242387,-1.594886165,0
validating,12,0.092705044,-1.487972289,0
testing,12,0.097899983,-2.286744323,0
training,13,0.08960878,-1.589547049,0
validating,13,0.090295622,-1.49473688,0
testing,13,0.094279338,-2.269843709,0
training,14,0.086754309,-1.565664634,0
validating,14,0.087526524,-1.499049777,0
testing,14,0.090570597,-2.257008281,0
