mode, epoch, average loss, defender utility,
testing,-1,0,-5.833863306,-7.418992519
training,0,1.837986183,-6.201939133,-5.743503571
validating,0,1.633162999,-6.267551994,-6.606919289
testing,0,1.727025086,-6.170386267,-6.57862854
training,1,1.863966881,-6.199122838,-6.180548191
validating,1,1.735061026,-6.248424721,-7.394569397
testing,1,1.876205784,-6.138231707,-6.26664257
training,2,2.109650702,-6.049240289,-6.195650578
validating,2,2.507188869,-6.073857212,-4.692166328
testing,2,2.797696024,-5.764640522,-5.022326946
training,3,2.152221153,-5.856266839,-5.326275826
validating,3,2.151217818,-6.081479359,-6.225319862
testing,3,2.2750552,-5.75815196,-7.378228664
training,4,1.944110259,-5.827355644,-6.053713799
validating,4,2.142312789,-6.059125137,-4.099235535
testing,4,2.228206497,-5.737438679,-5.096286774
training,5,1.729451576,-5.817807347,-5.95457983
validating,5,1.956887698,-6.0164814,-4.224601269
testing,5,2.046389931,-5.737857914,-5.669228077
training,6,1.821287906,-5.796658938,-5.63162756
validating,6,1.83514545,-6.005933094,-8.129508018
testing,6,1.885913092,-5.706678629,-5.136297226
training,7,1.446029113,-5.741751371,-5.463076115
validating,7,1.402464747,-5.826890469,-4.11663723
testing,7,1.25616861,-5.686152411,-4.211062431
training,8,0.996809525,-5.560493047,-5.697499752
validating,8,1.150626135,-5.558131695,-6.643462181
testing,8,1.020270127,-5.686516619,-5.321870804
training,9,0.825422326,-5.231900842,-4.476520061
validating,9,0.527010584,-4.615258217,-2.721351385
testing,9,0.235259253,-4.954294825,-5.427210331
training,10,0.268549292,-4.830210304,-5.165858746
validating,10,0.379217607,-4.39605608,-2.8052001
testing,10,0.230780798,-4.835913849,-6.514671326
training,11,0.315854167,-4.810655723,-4.810750008
validating,11,0.458180255,-4.443388176,-3.385451078
testing,11,0.447868365,-4.828608656,-4.711579323
training,12,0.527057066,-4.81372633,-4.534445286
validating,12,0.586482519,-4.349054146,-3.639914036
testing,12,0.703899735,-5.268127394,-5.559102058
training,13,0.603810798,-4.878764548,-4.250319481
validating,13,0.591227263,-4.369367599,-4.295697212
testing,13,0.71173014,-5.250267935,-4.227349758
training,14,0.546069696,-4.823224912,-4.410209179
validating,14,0.519218785,-4.368911171,-3.111713886
testing,14,0.584167409,-5.030617094,-4.789278984
training,15,0.48477295,-4.774074282,-4.810834885
validating,15,0.53848533,-4.374461746,-4.935034275
testing,15,0.61653412,-5.132981801,-5.916419029
training,16,0.551928417,-4.818291358,-4.206131458
validating,16,0.535249859,-4.373259354,-3.031904936
testing,16,0.610940522,-5.099780607,-6.595806122
training,17,0.537308982,-4.790887015,-3.298243999
validating,17,0.559260434,-4.345457935,-5.329624653
testing,17,0.652757883,-5.186853361,-6.148064613
training,18,0.574254435,-4.848095771,-5.303598404
validating,18,0.567189127,-4.364616966,-3.232935429
testing,18,0.666730762,-5.243011379,-4.499308109
training,19,0.57137205,-4.864882585,-4.453426361
validating,19,0.529072863,-4.370363331,-6.007128716
testing,19,0.600295717,-5.126362014,-4.220894814
mode, epoch, average loss, defender utility,
training,-1,0,-2.964941767,-2.161625862
validating,-1,0,-2.934699774,-1.419704795
testing,-1,0,-2.902614307,-2.566641092
training,0,2.294145972,-3.501301139,-3.034165144
validating,0,1.284796953,-3.528206158,-3.964543819
testing,0,2.442560291,-3.476359797,-5.606040001
training,1,1.939945568,-3.457040119,-3.437377214
validating,1,0.701810455,-3.171081448,-1.297731042
testing,1,1.453630054,-3.153459573,-4.488729
training,2,1.039560424,-2.833215019,-3.185269356
validating,2,0.20257268,-2.650335169,-3.859413147
testing,2,0.799528235,-2.712940741,-2.289167881
training,3,0.863056752,-2.729068817,-2.479275703
validating,3,0.176144743,-2.660947037,0
testing,3,0.780969685,-2.7191679,-3.128922701
training,4,0.78237508,-2.706189053,-3.379033327
validating,4,0.054579544,-2.629708719,-2.215161085
testing,4,0.619679505,-2.706481147,-3.703099728
training,5,0.667035607,-2.6981587,-2.171829224
validating,5,-0.00501591,-2.629366541,-3.664485931
testing,5,0.569062728,-2.693045139,-3.437599897
training,6,0.541722643,-2.67722574,-2.853439331
validating,6,-0.105767846,-2.624116564,-4.749516964
testing,6,0.447662133,-2.690583277,-3.658342361
training,7,0.417541564,-2.664775269,-2.21994853
validating,7,-0.169664097,-2.622324324,-1.645185828
testing,7,0.376031667,-2.68851676,-3.183639526
training,8,0.361954132,-2.663254574,-3.067109823
validating,8,-0.209894454,-2.623277044,-3.921597958
testing,8,0.326963574,-2.689491224,-3.508611202
training,9,0.288142232,-2.664083522,-2.968789339
validating,9,-0.208034706,-2.624276733,-0.842257619
testing,9,0.35713405,-2.682936025,-3.947161198
training,10,0.275105475,-2.66119848,-2.199072599
validating,10,-0.199127686,-2.624423885,-3.790360212
testing,10,0.375247008,-2.68411932,-2.789447784
training,11,0.299871237,-2.660128212,-2.934030294
validating,11,-0.19113667,-2.625634432,-0.766056478
testing,11,0.39561252,-2.69133358,-1.328743935
training,12,0.306181678,-2.660571221,-2.974480391
validating,12,-0.175036788,-2.625587082,-2.857456684
testing,12,0.432743174,-2.698900485,-1.958731294
training,13,0.311376999,-2.667300136,-2.774494886
validating,13,-0.210454273,-2.623835802,-1.916051507
testing,13,0.355645591,-2.679678965,-1.346423149
