mode, epoch, average loss, defender utility,
training,-1,0.182378777,-3.103935471,0
validating,-1,0.161695218,-2.073217213,0
testing,-1,0.190613371,-2.424711853,0
training,0,3.33847486,-4.588671848,0
validating,0,3.434811783,-4.581223011,0
testing,0,3.367268705,-4.667914104,0
training,1,3.458372511,-4.566952678,0
validating,1,3.945587826,-4.505426502,0
testing,1,3.836339068,-4.58664937,0
training,2,6.174886145,-4.1984825,0
validating,2,10.27227249,-3.474805975,0
testing,2,9.570689392,-3.587766123,0
training,3,8.104889202,-3.639165722,0
validating,3,9.070765686,-3.141736126,0
testing,3,8.474319935,-3.449866796,0
training,4,7.737932859,-3.602548974,0
validating,4,7.719581032,-3.328505325,0
testing,4,7.245345926,-3.764158368,0
training,5,7.604631274,-3.55197901,0
validating,5,8.534578514,-3.083581877,0
testing,5,7.981211042,-3.509508777,0
training,6,7.701041549,-3.489666046,0
validating,6,7.039226437,-3.538817692,0
testing,6,6.624468851,-4.180344772,0
training,7,7.533464677,-3.541122447,0
validating,7,7.97023716,-3.105452251,0
testing,7,7.462943459,-3.609074402,0
training,8,7.431381648,-3.519751573,0
validating,8,7.51887455,-3.229854393,0
testing,8,7.051382971,-3.82026391,0
training,9,7.376676287,-3.469138547,0
validating,9,7.986441994,-3.061430168,0
testing,9,7.471424341,-3.682562876,0
training,10,7.437795952,-3.47419031,0
validating,10,7.820392227,-3.18601532,0
testing,10,7.318759012,-3.576551366,0
training,11,7.385328756,-3.479783525,0
validating,11,7.329566288,-3.366851711,0
testing,11,6.872490644,-3.815108633,0
training,12,7.548843329,-3.393775688,0
validating,12,6.864791679,-3.495219469,0
testing,12,6.451273441,-3.932322502,0
training,13,6.639669936,-3.705365801,0
validating,13,7.245525837,-3.262985754,0
testing,13,6.794339466,-3.676330328,0
training,14,6.951619639,-3.526600078,0
validating,14,7.527072334,-3.193267393,0
testing,14,7.048341417,-3.550582933,0
training,15,7.102450248,-3.443795647,0
validating,15,7.629594326,-3.132060337,0
testing,15,7.140744972,-3.537108564,0
training,16,7.244530909,-3.451579281,0
validating,16,7.737133026,-3.103752232,0
testing,16,7.237765741,-3.503028345,0
training,17,7.230182089,-3.427169323,0
validating,17,7.657940388,-3.147505784,0
testing,17,7.165919924,-3.574018216,0
training,18,7.235916696,-3.429338588,0
validating,18,7.709342289,-3.122118664,0
testing,18,7.212189579,-3.528204441,0
training,19,7.142423603,-3.403108859,0
validating,19,7.564834595,-3.173014545,0
testing,19,7.081341791,-3.54418602,0
