mode, epoch, average loss, defender utility,
training,-1,0.217972263,-3.360355601,0
validating,-1,0.224244761,-3.129692793,0
testing,-1,0.20643779,-3.055814266,0
training,0,2.608151252,-5.967002937,0
validating,0,3.013929033,-5.985028458,0
testing,0,2.812178993,-5.971855211,0
training,1,2.450412641,-5.956503623,0
validating,1,2.227879715,-5.967484379,0
testing,1,2.077535355,-5.93413949,0
training,2,1.425461136,-5.8600123,0
validating,2,0.940040851,-4.860503769,0
testing,2,0.843254501,-4.706354761,0
training,3,0.881835074,-5.468451534,0
validating,3,0.680525708,-4.187205553,0
testing,3,0.619195122,-3.75427835,0
training,4,0.799922626,-5.349322101,0
validating,4,0.647486448,-4.212561417,0
testing,4,0.571044832,-3.788862038,0
training,5,0.780806523,-5.337481846,0
validating,5,0.690285492,-4.375223684,0
testing,5,0.597741139,-3.966562676,0
training,6,0.785662545,-5.282023048,0
validating,6,0.654639888,-4.303036928,0
testing,6,0.564750469,-3.743193126,0
training,7,0.771561078,-5.310369788,0
validating,7,0.617940736,-4.122128057,0
testing,7,0.532231331,-3.792215562,0
training,8,0.75860633,-5.23383147,0
validating,8,0.599691963,-4.057840586,0
testing,8,0.516555464,-3.767172575,0
training,9,0.755793771,-5.12383195,0
validating,9,0.61871767,-4.186894989,0
testing,9,0.531592178,-3.745406246,0
training,10,0.741573121,-5.105812376,0
validating,10,0.587790227,-3.994975615,0
testing,10,0.50881207,-3.757959819,0
training,11,0.747726706,-5.231903669,0
validating,11,0.654371214,-4.256072998,0
testing,11,0.569356847,-3.747297025,0
training,12,0.75451003,-5.219190632,0
validating,12,0.581520939,-4.055711031,0
testing,12,0.505419242,-3.74529779,0
training,13,0.742772477,-5.220569743,0
validating,13,0.599738884,-4.128531599,0
testing,13,0.519460201,-3.755732119,0
training,14,0.733935063,-5.178850017,0
validating,14,0.612557793,-4.147411728,0
testing,14,0.522855306,-3.753797841,0
training,15,0.724547897,-5.165499289,0
validating,15,0.576260352,-3.980060053,0
testing,15,0.496079332,-3.718115592,0
training,16,0.727907937,-5.15509838,0
validating,16,0.606503606,-4.175024939,0
testing,16,0.521533155,-3.739419186,0
training,17,0.716424472,-5.083133142,0
validating,17,0.581685781,-4.076177359,0
testing,17,0.500007188,-3.745577931,0
training,18,0.712015659,-5.023055533,0
validating,18,0.597619867,-4.16173172,0
testing,18,0.512198567,-3.732140028,0
training,19,0.700330366,-5.087660837,0
validating,19,0.555775619,-3.981854725,0
testing,19,0.477710038,-3.691610086,0
mode, epoch, average loss, defender utility,
training,-1,0.353086029,-2.435711982,0
validating,-1,0.356050491,-2.466564989,0
testing,-1,0.356418055,-2.925409985,0
training,0,2.997135169,-3.803675692,0
validating,0,2.917189598,-3.84954915,0
testing,0,2.993122578,-3.8282722,0
training,1,2.551763735,-3.6012415,0
validating,1,1.650217152,-2.940384388,0
testing,1,1.698253381,-2.869348431,0
training,2,1.353647361,-2.537566461,0
validating,2,1.160759258,-2.954325914,0
testing,2,1.255646741,-2.764569855,0
training,3,0.990103616,-2.475540355,0
validating,3,0.660919809,-2.825068808,0
testing,3,0.706187886,-2.657471251,0
training,4,0.517738744,-2.352651708,0
validating,4,0.441082907,-2.318391381,0
testing,4,0.451680595,-2.892753959,0
training,5,0.444368379,-2.523111871,0
validating,5,0.419500089,-2.289666936,0
testing,5,0.421103674,-2.879122567,0
training,6,0.430352269,-2.444593641,0
validating,6,0.416257572,-2.270277306,0
testing,6,0.405246514,-2.883336091,0
training,7,0.421084881,-2.487994196,0
validating,7,0.408825088,-2.294212876,0
testing,7,0.406093878,-2.856231284,0
training,8,0.417954312,-2.425305516,0
validating,8,0.413425756,-2.315026529,0
testing,8,0.414937335,-2.924887991,0
training,9,0.418600665,-2.433767767,0
validating,9,0.409603477,-2.277722183,0
testing,9,0.395625287,-2.877867484,0
training,10,0.416640503,-2.470555741,0
validating,10,0.411721253,-2.232580256,0
testing,10,0.396237499,-2.88577311,0
training,11,0.414089012,-2.464270418,0
validating,11,0.412342119,-2.237072012,0
testing,11,0.396037167,-2.898831558,0
training,12,0.418565781,-2.483159438,0
validating,12,0.409854484,-2.306986217,0
testing,12,0.407813448,-2.870546985,0
training,13,0.418047088,-2.427153502,0
validating,13,0.412685633,-2.232179853,0
testing,13,0.396593434,-2.882002234,0
training,14,0.419242205,-2.443443808,0
validating,14,0.426673222,-2.341751811,0
testing,14,0.436019844,-2.956028366,0
training,15,0.432373428,-2.440033759,0
validating,15,0.40731771,-2.293673691,0
testing,15,0.401840025,-2.858842754,0
training,16,0.415511652,-2.464232016,0
validating,16,0.408185649,-2.298840408,0
testing,16,0.402289313,-2.858423281,0
training,17,0.415592739,-2.433127303,0
validating,17,0.408346653,-2.265252809,0
testing,17,0.39577294,-2.852671838,0
training,18,0.414583646,-2.438389189,0
validating,18,0.408558655,-2.300824149,0
testing,18,0.407786089,-2.864527273,0
training,19,0.41654032,-2.439961786,0
validating,19,0.41092546,-2.309017389,0
testing,19,0.411287397,-2.873472071,0
mode, epoch, average loss, defender utility,
training,-1,0.415562599,-1.540905545,0
validating,-1,0.448922348,-1.308810556,0
testing,-1,0.458342063,-1.34553993,0
training,0,2.827438123,-1.738766006,0
validating,0,2.906200314,-1.714471292,0
testing,0,2.757993627,-1.743505859,0
training,1,2.7813594,-1.718727248,0
validating,1,2.665363693,-1.653053403,0
testing,1,2.535461164,-1.6782462,0
training,2,1.94563473,-1.606526617,0
validating,2,1.314644766,-1.518189216,0
testing,2,1.269206369,-1.572242188,0
training,3,1.21331968,-1.590151555,0
validating,3,1.238664055,-1.516625667,0
testing,3,1.191878378,-1.57075721,0
training,4,1.120390689,-1.563494679,0
validating,4,1.161886978,-1.531231761,0
testing,4,1.111339939,-1.55075376,0
training,5,1.044228988,-1.575866522,0
validating,5,1.102896547,-1.574010801,0
testing,5,1.046846974,-1.539899457,0
training,6,0.981160539,-1.600065196,0
validating,6,1.076996517,-1.623616266,0
testing,6,1.011437905,-1.554497027,0
training,7,0.94491885,-1.616630939,0
validating,7,1.089661694,-1.669326806,0
testing,7,1.012955987,-1.574646014,0
training,8,0.926156562,-1.650731119,0
validating,8,1.070648289,-1.689354193,0
testing,8,0.993782198,-1.569241756,0
training,9,0.909666674,-1.659360806,0
validating,9,1.062076616,-1.702595007,0
testing,9,0.984106767,-1.567619437,0
training,10,0.902451668,-1.667508703,0
validating,10,1.048518085,-1.70834803,0
testing,10,0.971690834,-1.562332529,0
training,11,0.886549796,-1.679044946,0
validating,11,1.042825174,-1.715259075,0
testing,11,0.964256322,-1.563660139,0
training,12,0.871320265,-1.681561047,0
validating,12,1.043780184,-1.722219813,0
testing,12,0.962396061,-1.565523553,0
training,13,0.857608914,-1.663196268,0
validating,13,1.051781464,-1.715188509,0
testing,13,0.967629516,-1.566251206,0
training,14,0.846940425,-1.674683218,0
validating,14,1.008696842,-1.725079656,0
testing,14,0.930244803,-1.551818717,0
training,15,0.821414454,-1.6831644,0
validating,15,1.021536016,-1.721637481,0
testing,15,0.938834214,-1.558473343,0
training,16,0.807852657,-1.659097426,0
validating,16,0.978295469,-1.700161296,0
testing,16,0.90109905,-1.539860648,0
training,17,0.785924588,-1.676642645,0
validating,17,0.93906703,-1.705894792,0
testing,17,0.868526709,-1.517627299,0
training,18,0.766383464,-1.665508389,0
validating,18,0.921163845,-1.69551962,0
testing,18,0.849478459,-1.515900359,0
training,19,0.738756956,-1.670424371,0
validating,19,0.891529274,-1.69798606,0
testing,19,0.822678959,-1.502285209,0
mode, epoch, average loss, defender utility,
training,-1,0.070193792,-1.484076352,0
validating,-1,0.077609669,-1.448092669,0
testing,-1,0.070460619,-2.140421516,0
training,0,2.221606009,-4.189485291,0
validating,0,2.190748215,-4.148890877,0
testing,0,2.129071677,-4.243032598,0
training,1,2.171812609,-4.144626372,0
validating,1,1.98414197,-3.954904652,0
testing,1,1.919253683,-4.068458247,0
training,2,1.237644842,-3.342198079,0
validating,2,0.443869257,-2.476016593,0
testing,2,0.419455001,-2.956104016,0
training,3,0.207148634,-1.825069562,0
validating,3,0.159117305,-1.374798137,0
testing,3,0.170530305,-2.749433837,0
training,4,0.144045436,-1.67603472,0
validating,4,0.140664393,-1.386636972,0
testing,4,0.157216101,-2.613392739,0
training,5,0.133656517,-1.647778217,0
validating,5,0.137442631,-1.459635162,0
testing,5,0.147767274,-2.467793028,0
training,6,0.125109961,-1.652720602,0
validating,6,0.126821911,-1.46900661,0
testing,6,0.139242421,-2.443585506,0
training,7,0.118307849,-1.644780209,0
validating,7,0.122359489,-1.451705304,0
testing,7,0.130536192,-2.399851794,0
training,8,0.111826449,-1.629392311,0
validating,8,0.11678749,-1.462139052,0
testing,8,0.123636374,-2.368855268,0
training,9,0.106903838,-1.627858309,0
validating,9,0.109786002,-1.481276476,0
testing,9,0.115647431,-2.3031532,0
training,10,0.101137639,-1.612274377,0
validating,10,0.1026225,-1.454806483,0
testing,10,0.108606982,-2.286052132,0
training,11,0.096508794,-1.605917581,0
validating,11,0.098505177,-1.48102895,0
testing,11,0.102950393,-2.280347502,0
training,12,0.093241744,-1.59464322,0
validating,12,0.092704734,-1.487972641,0
testing,12,0.097899684,-2.286709654,0
training,13,0.089607898,-1.58891227,0
validating,13,0.090295522,-1.494739342,0
testing,13,0.094279375,-2.269845745,0
training,14,0.086753627,-1.565697823,0
validating,14,0.087526577,-1.498976398,0
testing,14,0.09057014,-2.257052582,0
training,15,0.084841051,-1.57365915,0
validating,15,0.086120781,-1.501301366,0
testing,15,0.087322851,-2.229352259,0
training,16,0.082178618,-1.592171032,0
validating,16,0.081943267,-1.491161281,0
testing,16,0.084901284,-2.246916979,0
training,17,0.081284496,-1.56820461,0
validating,17,0.078446113,-1.505143929,0
testing,17,0.083539871,-2.270018429,0
training,18,0.080506868,-1.556928,0
validating,18,0.079184985,-1.480318964,0
testing,18,0.081168075,-2.1509286,0
training,19,0.079425694,-1.564712212,0
validating,19,0.075675637,-1.510053837,0
testing,19,0.081023062,-2.17503593,0
mode, epoch, average loss, defender utility,
training,-1,0.200105039,-0.822972506,0
validating,-1,0.220199668,-1.195178296,0
testing,-1,0.189428753,-1.072311728,0
training,0,3.756085437,-3.795854112,0
validating,0,3.725033236,-3.797387314,0
testing,0,3.770027876,-3.799506736,0
training,1,3.602683285,-3.719148323,0
validating,1,3.094452715,-3.483050442,0
testing,1,3.063883686,-3.486143398,0
training,2,1.727847244,-3.073734938,0
validating,2,0.914586222,-2.425994667,0
testing,2,0.674261165,-2.357155962,0
training,3,0.790520132,-1.743616835,0
validating,3,0.827216494,-1.523149476,0
testing,3,0.596802652,-1.9593855,0
training,4,0.703012067,-1.485245622,0
validating,4,0.741129899,-1.379714726,0
testing,4,0.527426684,-1.666232207,0
training,5,0.621269145,-1.297006171,0
validating,5,0.653415942,-1.274557607,0
testing,5,0.469156849,-1.396821771,0
training,6,0.526740028,-1.093765388,0
validating,6,0.542449522,-1.192856768,0
testing,6,0.39119935,-1.166870297,0
training,7,0.436618058,-1.042329259,0
validating,7,0.437295222,-1.124707756,0
testing,7,0.318158609,-1.123079626,0
training,8,0.358852304,-1.025552574,0
validating,8,0.363060832,-1.020895392,0
testing,8,0.285416663,-0.896033436,0
training,9,0.31018565,-1.01086297,0
validating,9,0.340555239,-0.984325875,0
testing,9,0.291624212,-0.841179382,0
training,10,0.278470192,-0.876058704,0
validating,10,0.278292823,-1.329368807,0
testing,10,0.239781493,-0.874167641,0
training,11,0.251862345,-0.820434018,0
validating,11,0.251131177,-1.395094372,0
testing,11,0.219494563,-1.08335335,0
training,12,0.242362367,-0.815908016,0
validating,12,0.246770287,-1.389474373,0
testing,12,0.216523176,-1.088862183,0
training,13,0.234921501,-0.815977456,0
validating,13,0.236573982,-1.374784342,0
testing,13,0.212011945,-1.149055171,0
training,14,0.235696621,-0.808809817,0
validating,14,0.240910101,-1.405326651,0
testing,14,0.21001088,-1.182974637,0
training,15,0.233763621,-0.801209172,0
validating,15,0.254644275,-1.315334791,0
testing,15,0.217016327,-1.143422232,0
training,16,0.227538789,-0.81708347,0
validating,16,0.240393829,-1.379165696,0
testing,16,0.206886858,-1.172183063,0
training,17,0.227410251,-0.829570258,0
validating,17,0.233379364,-1.412299586,0
testing,17,0.204041994,-1.108806852,0
training,18,0.225403001,-0.828640127,0
validating,18,0.234772205,-1.387730938,0
testing,18,0.202529335,-1.090636626,0
training,19,0.22172134,-0.819092945,0
validating,19,0.241900277,-1.316539845,0
testing,19,0.204529977,-1.146498988,0
mode, epoch, average loss, defender utility,
training,-1,0.015292531,-0.695570472,0
validating,-1,0.024969328,-1.368153435,0
testing,-1,0.011599608,-0.452755375,0
training,0,1.576895128,-4.437022822,0
