mode, epoch, average loss, defender utility,
training,-1,0,-4.885932432,-4.623156071
validating,-1,0,-5.032515049,-2.679028034
testing,-1,0,-4.786828995,-4.960216522
training,0,2.629137421,-4.770295511,-4.8084445
validating,0,2.80893507,-4.808778286,-4.768735886
testing,0,2.605722499,-4.801486254,-4.809990883
training,1,2.543943153,-4.750180299,-4.869793892
validating,1,2.415730095,-4.726097202,-4.896393299
testing,1,2.226604414,-4.704446554,-4.638947487
training,2,1.527303467,-4.752982412,-4.69848299
validating,2,0.923212814,-5.015938473,-5.153367996
testing,2,0.859431976,-4.786766672,-5.255717278
training,3,1.027324726,-4.824724218,-5.206221104
validating,3,0.87148931,-5.078424072,-5.447363853
testing,3,0.816196233,-4.840679026,-5.158950806
training,4,1.004984857,-4.763840001,-4.657742023
validating,4,0.922379994,-4.921576977,-5.760449409
testing,4,0.847334558,-4.718748212,-3.918192387
training,5,1.025174461,-4.843695109,-4.842140198
validating,5,0.895273161,-4.917682552,-6.192564487
testing,5,0.822094828,-4.67556324,-4.688737392
training,6,0.991091272,-4.777456822,-4.787942886
validating,6,0.865707088,-4.905584526,-5.024038792
testing,6,0.795596629,-4.698958063,-4.87070322
training,7,0.972815251,-4.810943208,-4.715447426
validating,7,0.854347658,-4.866406918,-4.922570229
testing,7,0.778924686,-4.654416561,-4.98871994
training,8,0.926511104,-4.719059672,-4.291422367
validating,8,0.825506473,-4.862193012,-4.589726448
testing,8,0.754074138,-4.662698984,-4.0033288
training,9,0.913248137,-4.722650078,-5.079073429
validating,9,0.774429393,-4.887652397,-5.523934364
testing,9,0.707968062,-4.732560253,-4.939959049
training,10,0.890251061,-4.838615935,-3.914400816
validating,10,0.72261548,-4.913037872,-4.992720604
testing,10,0.660113114,-4.757890415,-4.364713192
training,11,0.831856487,-4.773364326,-5.438015461
validating,11,0.656203377,-4.997598839,-5.499017239
testing,11,0.601186877,-4.733743,-4.44824791
training,12,0.7947874,-4.800770923,-4.978971481
validating,12,0.604639471,-4.975272655,-6.302936554
testing,12,0.549860305,-4.745661402,-4.74302721
training,13,0.739528453,-4.921431971,-5.639212608
validating,13,0.524408925,-5.010784626,-4.241147041
testing,13,0.474812275,-4.807908201,-4.177969933
training,14,0.692376701,-4.806796503,-5.337626457
validating,14,0.447127831,-5.040209484,-4.850142002
testing,14,0.409761462,-4.840245557,-4.983371735
training,15,0.630334344,-4.946829932,-4.852735043
validating,15,0.396492422,-4.949987507,-5.585092068
testing,15,0.350535557,-4.743845463,-5.012026787
training,16,0.556155671,-4.924268811,-5.400797367
validating,16,0.323539102,-4.876067162,-4.911183357
testing,16,0.277249971,-4.700251746,-5.387768745
training,17,0.499439727,-4.871786192,-5.318014145
validating,17,0.249893701,-4.874000835,-4.529718399
testing,17,0.211913839,-4.739062119,-6.272378445
training,18,0.457521101,-4.961469432,-5.181069851
validating,18,0.192350566,-4.886079597,-5.474620819
testing,18,0.159982774,-4.771171999,-5.007278442
training,19,0.428473005,-4.922555917,-5.023838997
validating,19,0.138160551,-4.908886147,-2.952270985
testing,19,0.116382042,-4.769822145,-5.605575085
mode, epoch, average loss, defender utility,
training,-1,0,-2.720739542,-2.526464939
validating,-1,0,-2.669401932,-3.36204195
testing,-1,0,-2.68301363,-2.250397205
training,0,1.601575071,-2.464185401,-2.483346224
validating,0,2.302769136,-2.441697502,-2.428630352
testing,0,1.411454415,-2.477780485,-2.37326026
training,1,1.598716228,-2.464141778,-2.441887856
validating,1,2.288489819,-2.441424561,-2.428285837
testing,1,1.399308681,-2.477441216,-2.571761608
training,2,1.528797473,-2.462862206,-2.49717021
validating,2,2.086581326,-2.441306448,-2.508207798
testing,2,1.222434664,-2.475813675,-2.519642353
training,3,1.150454709,-2.456969779,-2.460565567
validating,3,1.417859244,-2.450767517,-2.456782579
testing,3,0.670503509,-2.472713852,-2.471237421
training,4,0.530866378,-2.447506687,-2.402034521
validating,4,0.6381796,-2.438366842,-2.669260502
testing,4,0.196517241,-2.460748339,-2.651726723
training,5,0.212521495,-2.43800775,-2.390838146
validating,5,0.265503442,-2.430595732,-2.385236979
testing,5,0.136072594,-2.438123751,-2.493248463
training,6,0.13977571,-2.439859622,-2.431815147
validating,6,0.139803076,-2.505194187,-2.640418291
testing,6,0.149487191,-2.468267608,-2.713903666
mode, epoch, average loss, defender utility,
training,-1,0,-5.422984586,-6.486376286
validating,-1,0,-4.89295578,-6.707186699
testing,-1,0,-5.833863306,-7.418992519
training,0,1.837986183,-6.201939133,-5.743503571
validating,0,1.633162999,-6.267551994,-6.606919289
testing,0,1.727025086,-6.170386267,-6.57862854
training,1,1.802211135,-6.203865405,-6.137042999
validating,1,1.512013841,-6.2477561,-7.185732365
testing,1,1.523396093,-6.162077284,-6.111428738
training,2,1.35934764,-5.99396959,-5.704274654
validating,2,0.820077395,-5.668755913,-6.266639709
testing,2,0.386418408,-5.696425295,-5.979493141
training,3,0.74549534,-5.638482394,-5.293086529
validating,3,0.658290243,-5.537374496,-4.73029995
testing,3,0.109490532,-5.522166872,-5.303124428
training,4,0.534004617,-5.468197891,-5.009130001
validating,4,0.720992708,-5.458019447,-3.924386978
testing,4,0.078991789,-5.333177996,-6.351942062
training,5,0.408293734,-5.46400731,-5.696703434
validating,5,0.777342105,-5.601036072,-5.167934895
testing,5,0.100935,-5.522626925,-5.566366196
training,6,0.332996178,-5.379369654,-6.149387836
validating,6,0.809732628,-5.683957577,-2.661353588
testing,6,0.139354771,-5.558015776,-5.841768742
training,7,0.311397934,-5.301138129,-5.151313782
validating,7,0.733462358,-5.426409626,-3.900994539
testing,7,0.109131986,-5.485572863,-7.193440437
training,8,0.295616652,-5.308782019,-4.577342033
validating,8,0.690736222,-5.324518108,-6.471713066
testing,8,0.098696417,-5.504697037,-5.809550285
training,9,0.272257078,-5.268229089,-5.717145443
