Epoch, 8
Random seed, 0, forward time, 42.98959946632385, inference time, 1911.3237018585205, qp time, 0, backward_time, 394.0127422809601
forward time,0,0,0,0,0,0,0,0,0,42.98959946632385
inference time,0,0,0,0,0,0,0,0,0,1911.3237018585205
qp time,0,0,0,0,0,0,0,0,0,0
backward time,0,0,50.0063853263855,49.52365565299988,48.711962938308716,49.0605571269989,48.234471559524536,49.05851411819458,49.01061797142029,50.406577587127686
