Epoch, 8
Random seed, 0, forward time, 163.96956253051758, inference time, 582.6769351959229, qp time, 0, backward_time, 248.2503252029419
forward time,0,0,20.201077938079834,20.279000282287598,20.25362205505371,20.41184949874878,20.578708171844482,20.74467945098877,20.63233232498169,20.868292808532715
inference time,0,0,68.5141749382019,70.16319513320923,71.43355965614319,73.18900513648987,74.28383350372314,74.76714158058167,74.15704488754272,76.16898036003113
qp time,0,0,0,0,0,0,0,0,0,0
backward time,0,0,30.932953596115112,30.80301833152771,30.82515001296997,31.036591291427612,31.223979711532593,31.23266887664795,30.979607105255127,31.21635627746582
