Epoch, 8
Random seed, 0, forward time, 2.3317959308624268, inference time, 33.493035078048706, qp time, 0, backward_time, 18.95278286933899
forward time,0,0,0,0,0,0,0,0,0,2.3317959308624268
inference time,0,0,0,0,0,0,0,0,0,33.493035078048706
qp time,0,0,0,0,0,0,0,0,0,0
backward time,0,0,2.5199286937713623,2.286064863204956,2.2945802211761475,2.2788100242614746,2.2726848125457764,2.2601375579833984,2.2633063793182373,2.7772703170776367
