Epoch, 8
Random seed, 0, forward time, 1.0096709728240967, inference time, 7.065831184387207, qp time, 0, backward_time, 9.141921997070312
forward time,0,0,0,0,0,0,0,0,0,1.0096709728240967
inference time,0,0,0,0,0,0,0,0,0,7.065831184387207
qp time,0,0,0,0,0,0,0,0,0,0
backward time,0,0,1.2417738437652588,1.1241083145141602,1.119135856628418,1.1157066822052002,1.125713586807251,1.1132323741912842,1.118584394454956,1.1836669445037842
