Epoch, 8
Random seed, 0, forward time, 0, inference time, 0, qp time, 0, backward_time, 61.36360049247742
forward time,0,0,0,0,0,0,0,0,0,0
inference time,0,0,0,0,0,0,0,0,0,0
qp time,0,0,0,0,0,0,0,0,0,0
backward time,0,0,7.599090337753296,7.564014911651611,7.490532636642456,7.687280178070068,7.767309188842773,7.748873472213745,7.740250587463379,7.766249179840088
