Epoch, 7
Random seed, 0, forward time, 17.34810709953308, inference time, 258.40481662750244, qp time, 0, backward_time, 135.48798871040344
forward time,0,0,0,0,0,0,0,0,17.34810709953308
inference time,0,0,0,0,0,0,0,0,258.40481662750244
qp time,0,0,0,0,0,0,0,0,0
backward time,0,0,19.430525541305542,18.9079327583313,18.9019615650177,18.893964529037476,19.376358032226562,19.464266538619995,20.512979745864868
