Epoch, 7
Random seed, 0, forward time, 2.446829319000244, inference time, 42.35957407951355, qp time, 0, backward_time, 19.012905836105347
forward time,0,0,0,0,0,0,0,0,2.446829319000244
inference time,0,0,0,0,0,0,0,0,42.35957407951355
qp time,0,0,0,0,0,0,0,0,0
backward time,0,0,2.682234764099121,2.692194700241089,2.676765203475952,2.692142963409424,2.683668613433838,2.676523447036743,2.9093761444091797
