Epoch, 8
Random seed, 0, forward time, 0, inference time, 0, qp time, 0, backward_time, 946.428635597229
forward time,0,0,0,0,0,0,0,0,0,0
inference time,0,0,0,0,0,0,0,0,0,0
qp time,0,0,0,0,0,0,0,0,0,0
backward time,0,0,118.68878483772278,118.42115926742554,118.33642029762268,118.36250829696655,118.36895060539246,118.29043412208557,117.91805171966553,118.0423264503479
