Random seed, 9,training loss, 0.8109514577048166, training defu, -1.8474782364709037, training opt, -1.6872023514338903, validating loss, 0.7364542245864868, validating defu, -1.7826232433319091, validating opt, -1.6006708860397338,testing loss, 0.8242536544799804, testing defu, -1.7645861625671386, testing opt, -1.5528178930282592
Random seed, 14,training loss, 0.6098543848310198, training defu, -3.994071422304426, training opt, -3.5335388387952533, validating loss, 0.7592798948287964, validating defu, -4.065685176849366, validating opt, -3.53542275428772,testing loss, 0.7271701216697692, testing defu, -4.019292688369751, testing opt, -3.57323157787323
Random seed, 8,training loss, 0.6658396669796535, training defu, -5.197950567517962, training opt, -4.753017398289272, validating loss, 0.6694190979003907, validating defu, -5.080143833160401, validating opt, -4.692432498931884,testing loss, 0.6346786558628082, testing defu, -5.181857252120972, testing opt, -4.815920019149781
Random seed, 3,training loss, 0.794196207182748, training defu, -3.9446404797690255, training opt, -3.6682874952043805, validating loss, 0.7917018175125122, validating defu, -3.7400014400482178, validating opt, -3.4755295753479003,testing loss, 0.8774137258529663, testing defu, -3.9353057384490966, testing opt, -3.5758323669433594
Random seed, 10,training loss, 0.7515405178070068, training defu, -1.6758469138826644, training opt, -1.625594871384757, validating loss, 0.8311645984649658, validating defu, -1.8813308000564575, validating opt, -1.754304623603821,testing loss, 0.8308435559272767, testing defu, -1.8725149989128114, testing opt, -1.6375966310501098
Random seed, 2,training loss, 0.6667182649884905, training defu, -3.9954113960266113, training opt, -3.616076292310442, validating loss, 0.658071231842041, validating defu, -4.034479093551636, validating opt, -3.7732447147369386,testing loss, 0.6599604368209839, testing defu, -4.040268015861511, testing opt, -3.7245758056640623
Random seed, 12,training loss, 0.48864805357796803, training defu, -0.6422706033502307, training opt, -0.2526115698473794, validating loss, 0.4834204435348511, validating defu, -0.3759938418865204, validating opt, -0.1825206995010376,testing loss, 0.8138856589794159, testing defu, -0.8936496809124946, testing opt, -0.20625634491443634
Random seed, 13,training loss, 0.6505208713667733, training defu, -4.373193570545742, training opt, -3.8609764916556224, validating loss, 0.6547507524490357, validating defu, -4.40094108581543, validating opt, -3.953072738647461,testing loss, 0.6179023385047913, testing defu, -4.2825922012329105, testing opt, -3.843908953666687
Random seed, 11,training loss, 0.6814590113503592, training defu, -2.128980347088405, training opt, -1.8949407373155867, validating loss, 0.5896176338195801, validating defu, -2.1990543365478517, validating opt, -2.080463409423828,testing loss, 0.6866325736045837, testing defu, -2.212955665588379, testing opt, -1.8511263370513915
Random seed, 5,training loss, 0.57944518498012, training defu, -3.365487786701747, training opt, -3.040565231868199, validating loss, 0.5628612995147705, validating defu, -3.35777325630188, validating opt, -3.0159717559814454,testing loss, 0.5816654562950134, testing defu, -3.4613827228546143, testing opt, -3.011367607116699
Random seed, 4,training loss, 1.1012669154575894, training defu, -3.1522787502833776, training opt, -2.756971379688808, validating loss, 1.129106378555298, validating defu, -3.076132392883301, validating opt, -2.7504923820495604,testing loss, 1.1666553497314454, testing defu, -3.2070372343063354, testing opt, -2.7255876541137694
Random seed, 1,training loss, 1.0492333037512642, training defu, -4.706400517054966, training opt, -4.179688964571271, validating loss, 0.9623981952667237, validating defu, -4.792188930511474, validating opt, -4.213961553573609,testing loss, 0.9939226150512696, testing defu, -4.629452896118164, testing opt, -4.21466588973999
Random seed, 16,training loss, 0.8076902389526367, training defu, -3.1336826733180456, training opt, -3.0125609125409807, validating loss, 0.8436678409576416, validating defu, -3.1481521129608154, validating opt, -3.059064769744873,testing loss, 0.8141446352005005, testing defu, -3.21937780380249, testing opt, -3.0935468912124633
Random seed, 21,training loss, 0.8932878153664725, training defu, -3.5415090152195523, training opt, -3.2043307644980294, validating loss, 1.134199857711792, validating defu, -3.4525577545166017, validating opt, -3.146024799346924,testing loss, 0.991564130783081, testing defu, -3.642378234863281, testing opt, -3.343144416809082
Random seed, 26,training loss, 0.5620814306395394, training defu, -1.8063414914267404, training opt, -1.6533080543790544, validating loss, 0.6012593746185303, validating defu, -1.8163756132125854, validating opt, -1.5541677474975586,testing loss, 0.5129652261734009, testing defu, -1.797749650478363, testing opt, -1.6531316637992859
Random seed, 18,training loss, 0.811180465562003, training defu, -3.5616393974849156, training opt, -3.2324838161468508, validating loss, 0.7373263835906982, validating defu, -3.4462585926055906, validating opt, -2.6346232891082764,testing loss, 0.7789980888366699, testing defu, -3.441865921020508, testing opt, -3.231773018836975
Random seed, 28,training loss, 0.47095623016357424, training defu, -2.8410558019365584, training opt, -2.6283747332436698, validating loss, 0.5613205909729004, validating defu, -2.894741106033325, validating opt, -2.708262062072754,testing loss, 0.5437644124031067, testing defu, -2.8236890554428102, testing opt, -2.6293864011764527
Random seed, 7,training loss, 0.5886589220591953, training defu, -2.545832279750279, training opt, -2.3167138610567366, validating loss, 0.6194825172424316, validating defu, -2.4431823253631593, validating opt, -2.179148244857788,testing loss, 0.7685787200927734, testing defu, -2.6006508350372313, testing opt, -2.267404246330261
Random seed, 6,training loss, 0.9379163197108678, training defu, -2.922013487134661, training opt, -2.6014467375619073, validating loss, 0.8312740325927734, validating defu, -2.8435420989990234, validating opt, -2.5362903594970705,testing loss, 0.9128381609916687, testing defu, -2.7730098009109496, testing opt, -2.6167627573013306
Random seed, 17,training loss, 0.47655015672956197, training defu, -2.6128877435411724, training opt, -2.189782919202532, validating loss, 0.5586313724517822, validating defu, -2.6821138858795166, validating opt, -2.2922346115112306,testing loss, 0.5945862174034119, testing defu, -2.678733706474304, testing opt, -2.2047755122184753
Random seed, 25,training loss, 0.7218140806470599, training defu, -4.225618130820138, training opt, -3.2550589629582, validating loss, 0.7486784219741821, validating defu, -3.9255786418914793, validating opt, -3.1136029720306397,testing loss, 0.7833869695663452, testing defu, -4.161603808403015, testing opt, -3.1623037576675417
Random seed, 20,training loss, 0.7093826498304094, training defu, -3.6439024312155586, training opt, -3.350672926221575, validating loss, 0.8473584651947021, validating defu, -3.708511734008789, validating opt, -3.4208382606506347,testing loss, 0.854004979133606, testing defu, -3.829221248626709, testing opt, -3.4297613859176637
Random seed, 29,training loss, 0.9421987397330148, training defu, -4.251916783196585, training opt, -3.2905957630702427, validating loss, 1.080726957321167, validating defu, -4.149049568176269, validating opt, -3.1124853610992433,testing loss, 0.8944367647171021, testing defu, -4.316054558753967, testing opt, -3.4260483264923094
Random seed, 27,training loss, 0.7080158914838518, training defu, -3.8991922310420444, training opt, -3.486891072137015, validating loss, 0.7573464632034301, validating defu, -3.9377532958984376, validating opt, -3.456864595413208,testing loss, 0.6221538782119751, testing defu, -3.7537309169769286, testing opt, -3.4999555110931397
Random seed, 24,training loss, 0.7403128283364432, training defu, -1.6746378319604056, training opt, -1.7237107583454676, validating loss, 0.8819885730743409, validating defu, -1.544355821609497, validating opt, -1.6270950317382813,testing loss, 0.9272988796234131, testing defu, -1.788144600391388, testing opt, -1.6640679478645324
Random seed, 30,training loss, 0.5395394665854317, training defu, -3.9829522473471504, training opt, -3.461938599177769, validating loss, 0.6229350090026855, validating defu, -3.8761852741241456, validating opt, -3.2684275627136232,testing loss, 0.5739407360553741, testing defu, -3.7819315671920775, testing opt, -3.1741270065307616
Random seed, 23,training loss, 0.6934683527265276, training defu, -4.2719163281576975, training opt, -3.7399687222072058, validating loss, 0.6446248531341553, validating defu, -4.227652359008789, validating opt, -3.5474281311035156,testing loss, 0.7872453689575195, testing defu, -4.383731317520142, testing opt, -3.7245503187179567
Random seed, 22,training loss, 1.6026831763131277, training defu, -2.6034473964146208, training opt, -2.3131282874516077, validating loss, 1.5185126304626464, validating defu, -2.674817514419556, validating opt, -2.3413995265960694,testing loss, 2.037916421890259, testing defu, -2.646843910217285, testing opt, -2.209763503074646
Random seed, 19,training loss, 0.48910190377916607, training defu, -4.550750568934849, training opt, -4.132689925602504, validating loss, 0.606378436088562, validating defu, -4.591414737701416, validating opt, -4.106737041473389,testing loss, 0.7010574698448181, testing defu, -4.686842203140259, testing opt, -4.078784441947937
Random seed, 15,training loss, 0.7974570172173636, training defu, -0.9539327033928462, training opt, -0.6152239978313446, validating loss, 0.9475936412811279, validating defu, -0.930057942867279, validating opt, -0.6276076555252075,testing loss, 0.944776999950409, testing defu, -0.9316141128540039, testing opt, -0.5622174739837646
