mode, epoch, average loss, defender utility
training, 15, 15.558923414775304, -2.302077909878322
validating, 15, 5.709073448181153, -2.20402193069458
testing, 15, 31.02096529006958, nan
training, 16, 15.397729458127703, -2.2967759370803833
validating, 16, 5.65144157409668, -2.219130802154541
testing, 16, 30.67293586730957, nan
training, 17, 15.306355701174056, -2.297199933869498
validating, 17, 5.594868469238281, -2.212860178947449
testing, 17, 30.38409032821655, nan
training, 18, 15.210430070332118, -2.2986803531646727
validating, 18, 5.569181060791015, -2.205429768562317
testing, 18, 30.24815444946289, nan
training, 19, 15.197374132701329, -2.302299322400774
validating, 19, 5.530958938598633, -2.2166011333465576
testing, 19, 30.053849506378175, -2.3876112937927245
mode, epoch, average loss, defender utility
training, -1, 0.0, -3.6034595012664794
validating, -1, 0.0, -3.8287817001342774
testing, -1, 0.0, nan
training, 0, 23.588616725376674, -3.912576450620379
validating, 0, 26.307499885559082, -3.909153413772583
testing, 0, 13.03816466331482, nan
training, 1, 23.556514140537807, -3.911125019618443
validating, 1, 25.9383451461792, -3.898388719558716
testing, 1, 12.856391000747681, nan
training, 2, 21.539746856689455, -3.8617858137403216
validating, 2, 19.147701454162597, -3.7837696075439453
testing, 2, 9.446205377578735, nan
training, 3, 11.56306084224156, -3.69876206942967
validating, 3, 7.0754190444946286, -3.65553674697876
testing, 3, 3.5889540195465086, nan
training, 4, 8.768463202885219, -3.6229456969669886
validating, 4, 7.627291679382324, -3.6103588104248048
testing, 4, 3.923772430419922, nan
training, 5, 6.541195624215263, -3.541472932270595
validating, 5, 6.683989524841309, -3.503191328048706
testing, 5, 3.243682527542114, nan
training, 6, 6.235595430646624, -3.424280377796718
validating, 6, 6.457534599304199, -3.3906877994537354
testing, 6, 2.97653865814209, nan
training, 7, 4.916933413914272, -3.351690857751029
validating, 7, 5.236902809143066, -3.3505712032318113
testing, 7, 2.5136148929595947, nan
training, 8, 4.641247476850237, -3.3768651076725553
validating, 8, 5.512934875488281, -3.440447282791138
testing, 8, 2.835360813140869, nan
training, 9, 4.948803002493722, -3.3355530057634626
validating, 9, 5.351312637329102, -3.3952285766601564
testing, 9, 2.5857468128204344, nan
training, 10, 4.651466751098633, -3.354772342954363
validating, 10, 6.092785263061524, -3.469875526428223
testing, 10, 2.953716993331909, nan
training, 11, 3.895333140236991, -3.346115609577724
validating, 11, 5.005047798156738, -3.3783095359802244
testing, 11, 2.5071834087371827, nan
training, 12, 4.2491294860839846, -3.333167430332729
