Random seed,3,,,,
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
validating,33,13.62219772,-3.72768116,0,-3.727657032
testing,33,11.26414242,-3.741061497,0,-3.741089439
training,34,11.87145211,-3.735637181,0,-3.735635042
validating,34,13.62362747,-3.727694416,0,-3.727523947
testing,34,11.26501007,-3.741119623,0,-3.741131949
training,35,11.88243702,-3.735657896,0,-3.735650539
validating,35,13.64473076,-3.727697611,0,-3.727671099
testing,35,11.28120937,-3.741066766,0,-3.741141677
training,36,11.90483829,-3.735700641,0,-3.735678434
validating,36,13.6714962,-3.727722836,0,-3.72760601
testing,36,11.30199757,-3.740984917,0,-3.740974975
training,37,11.91324795,-3.735644926,0,-3.735611439
validating,37,13.6630722,-3.727757454,0,-3.727759743
testing,37,11.29544067,-3.741013241,0,-3.740954089
training,38,11.9140498,-3.735639123,0,-3.735596895
validating,38,13.67821617,-3.727756929,0,-3.727645826
testing,38,11.30723953,-3.740933323,0,-3.740890837
training,39,11.93099016,-3.735620247,0,-3.735611916
validating,39,13.68790054,-3.727807617,0,-3.72780509
testing,39,11.31479321,-3.74089694,0,-3.740887856
training,40,11.92178225,-3.735571889,0,-3.735540867
validating,40,13.66052208,-3.727816963,0,-3.727887821
testing,40,11.29373512,-3.740936995,0,-3.740914273
training,41,11.89688819,-3.735606963,0,-3.735541582
validating,41,13.64446068,-3.727888727,0,-3.727863455
testing,41,11.28141785,-3.740941381,0,-3.740951967
training,42,11.89958463,-3.73560605,0,-3.735586643
validating,42,13.65014725,-3.727881002,0,-3.727874231
testing,42,11.28586426,-3.740964532,0,-3.740949059
training,43,11.89505305,-3.735537672,0,-3.735569477
validating,43,13.64222107,-3.727915907,0,-3.727962208
testing,43,11.27990036,-3.740956926,0,-3.740940499
training,44,11.89309747,-3.735542699,0,-3.735529423
validating,44,13.64347229,-3.727950525,0,-3.727832317
testing,44,11.28090458,-3.740954804,0,-3.740980315
training,45,11.8935761,-3.735585438,0,-3.735576868
validating,45,13.64352074,-3.727974415,0,-3.727889681
testing,45,11.2809557,-3.740953708,0,-3.740871239
training,46,11.89323856,-3.735538871,0,-3.735520601
validating,46,13.64228516,-3.727947998,0,-3.7279212
testing,46,11.28001633,-3.740991545,0,-3.740922117
training,47,11.89021645,-3.735559266,0,-3.735597372
validating,47,13.63779678,-3.727921295,0,-3.727937555
testing,47,11.27657242,-3.741003489,0,-3.740974832
training,48,11.88828937,-3.735562406,0,-3.73557663
validating,48,13.63635178,-3.727951574,0,-3.727919388
testing,48,11.27548008,-3.740971851,0,-3.740872955
training,49,11.88516459,-3.735583564,0,-3.735563517
validating,49,13.63129463,-3.727967596,0,-3.727787924
testing,49,11.27154827,-3.74097693,0,-3.740946627
training,50,11.88372476,-3.735639136,0,-3.735595703
validating,50,13.63151855,-3.727958059,0,-3.727935696
testing,50,11.2717268,-3.741002154,0,-3.740993094
Random seed,6,,,,
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training,-1,2.085729218,0,0,-3.501218319
validating,-1,2.177724266,-3.285440159,0,-3.476479626
testing,-1,2.027914381,-3.216559148,0,-3.553263354
training,0,11.40144133,0,0,-5.68173027
validating,0,11.93517284,-5.921250153,0,-5.811077881
testing,0,11.09107914,-5.634664536,0,-5.568809938
training,1,7.375567354,-5.6704025,0,-5.670446396
validating,1,5.699052048,-5.744343376,0,-5.804865837
testing,1,5.577531767,-5.416745853,0,-5.565972948
training,2,5.62180579,-4.308276531,0,-4.308299541
validating,2,9.231417465,-3.531233454,0,-3.526061249
testing,2,10.12488236,-3.859619212,0,-3.850258303
training,3,14.00036727,-3.738476835,0,-3.738476992
validating,3,18.28630352,-3.526061249,0,-3.526061249
testing,3,19.69343204,-3.850258303,0,-3.850258303
training,4,21.31779908,-3.738490609,0,-3.738476515
validating,4,23.12899876,-3.526061249,0,-3.526061249
