Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, 19, 12.620184476034982, -3.1972319739205495, 0.0, -3.1972312927246094
validating, 19, 13.371601963043213, -3.181418228149414, 0.0, -3.181418228149414
testing, 19, 12.56133713722229, -3.190372276306152, 0.0, -3.190372276306152
training, 20, 12.671149512699673, -3.1972280468259537, 0.0, -3.1972315311431885
validating, 20, 13.598536396026612, -3.181418228149414, 0.0, -3.181418228149414
testing, 20, 12.775047874450683, -3.190372276306152, 0.0, -3.190372276306152
training, 21, 12.921457890101841, -3.1972267218998502, 0.0, -3.1972317695617676
validating, 21, 13.76946954727173, -3.181418228149414, 0.0, -3.181418228149414
testing, 21, 12.936004734039306, -3.190372276306152, 0.0, -3.190372276306152
training, 22, 13.01159005846296, -3.197237992286682, 0.0, -3.1972315311431885
validating, 22, 13.807474040985108, -3.181418228149414, 0.0, -3.181418228149414
testing, 22, 12.971845388412476, -3.190372276306152, 0.0, -3.190372276306152
training, 23, 13.029921218327113, -3.197233397620065, 0.0, -3.1972315311431885
validating, 23, 13.815564632415771, -3.181418228149414, 0.0, -3.181418228149414
testing, 23, 12.979445123672486, -3.190372276306152, 0.0, -3.190372276306152
training, 24, 13.033481884002686, -3.197231694630214, 0.0, -3.1972312927246094
validating, 24, 13.815780925750733, -3.181418228149414, 0.0, -3.181418228149414
testing, 24, 12.979667282104492, -3.190372276306152, 0.0, -3.190372276306152
training, 25, 13.024457699911935, -3.1972364936556135, 0.0, -3.1972312927246094
validating, 25, 13.78666124343872, -3.181418228149414, 0.0, -3.181418228149414
testing, 25, 12.952201461791992, -3.190372276306152, 0.0, -3.190372276306152
training, 26, 12.998484257289341, -3.1972275359289988, 0.0, -3.1972315311431885
validating, 26, 13.772533321380616, -3.181418228149414, 0.0, -3.181418228149414
testing, 26, 12.93888087272644, -3.190372276306152, 0.0, -3.190372276306152
training, 27, 12.99137100492205, -3.1972326857703073, 0.0, -3.1972317695617676
