mode, epoch, average loss, defender utility,
training,-1,0.356245445,-3.49517997,-3.706377268
validating,-1,0.209772056,-2.164373235,-3.09900713
testing,-1,0.356017554,-2.724320745,-3.26906848
training,0,1.681618237,-4.887759999,-5.258821487
validating,0,1.70772562,-4.616543388,-5.104433537
testing,0,1.780123281,-4.842883015,-5.253619194
training,1,1.660977582,-4.869303608,-5.225321293
validating,1,1.595210719,-4.486501884,-5.026467323
testing,1,1.669236338,-4.730027294,-5.167031288
training,2,1.224180211,-4.492183876,-4.90011549
validating,2,0.546522772,-3.363849831,-4.08974123
testing,2,0.666266403,-3.309119415,-3.978944778
training,3,0.49896718,-3.520238863,-3.948667765
validating,3,0.263719115,-2.382083009,-3.242473125
testing,3,0.397706038,-2.856166574,-3.322750568
training,4,0.4225408,-3.565608787,-3.785641909
validating,4,0.255050594,-2.388341501,-3.296337605
testing,4,0.375546646,-2.899273083,-3.339878798
training,5,0.414350389,-3.513217358,-3.819299221
validating,5,0.250902015,-2.344944972,-3.342315197
testing,5,0.372148725,-2.884078211,-3.127612352
training,6,0.408710511,-3.513724151,-3.906668425
validating,6,0.247215056,-2.389501278,-3.296996593
testing,6,0.369362205,-2.898421603,-3.447759628
training,7,0.404851153,-3.509030512,-3.872012854
validating,7,0.242914635,-2.331508842,-3.152036667
testing,7,0.366274932,-2.889649028,-3.332029819
training,8,0.3977756,-3.505684911,-3.886955023
validating,8,0.239798295,-2.329794288,-3.01501894
testing,8,0.364065376,-2.890012285,-3.293792248
training,9,0.394472262,-3.477065204,-3.804754734
validating,9,0.235822529,-2.289799023,-3.172504425
testing,9,0.361124426,-2.870388672,-3.309688568
training,10,0.389772852,-3.502805059,-3.901352882
validating,10,0.232284233,-2.256915545,-3.269637585
testing,10,0.359489951,-2.8256715,-3.294494152
training,11,0.386804536,-3.468670126,-3.811497688
validating,11,0.22867921,-2.298223704,-3.14177227
testing,11,0.35814639,-2.878041202,-3.239864826
training,12,0.380941102,-3.489817163,-3.824944973
validating,12,0.226839915,-2.259305686,-3.353792191
testing,12,0.354311579,-2.820599246,-3.287768602
training,13,0.379088201,-3.464889243,-3.830012798
validating,13,0.222725007,-2.270672506,-3.179556608
testing,13,0.355173573,-2.864785811,-3.313415051
training,14,0.379396067,-3.699238991,-3.884009123
validating,14,0.22440013,-2.239151244,-3.041047573
testing,14,0.351346192,-2.813527676,-3.143016815
training,15,0.371818599,-3.50186712,-3.833800316
validating,15,0.220484605,-2.230851406,-3.004775286
testing,15,0.351104438,-2.807569271,-3.247021914
training,16,0.369439375,-3.475334203,-3.790370941
validating,16,0.220693797,-2.21413632,-3.141884327
testing,16,0.34898946,-2.802639326,-3.072357893
training,17,0.368376861,-3.490361027,-3.817954302
validating,17,0.220965797,-2.20109911,-3.068721294
testing,17,0.347602758,-2.794444266,-3.25520277
training,18,0.369147114,-3.480894311,-3.826997519
validating,18,0.218414176,-2.203627187,-3.007066488
testing,18,0.347806573,-2.794518319,-3.270206451
training,19,0.365193436,-3.474757223,-3.790733099
validating,19,0.21914573,-2.20402118,-3.207439423
testing,19,0.346289313,-2.796738741,-3.160757542
mode, epoch, average loss, defender utility,
