mode, epoch, average loss, defender utility,
training,-1,0.046816696,-2.942674289,-2.927814007
validating,-1,0.052113628,-3.408497763,-3.023275137
testing,-1,0.050526452,-2.936892724,-3.106317997
training,0,0.788446249,-3.65321643,-3.912819624
validating,0,0.684949994,-3.620598745,-3.892789125
testing,0,0.694883734,-3.722604418,-3.944693089
training,1,0.768811992,-3.639109053,-3.902331114
validating,1,0.609306014,-3.56573782,-3.901205063
testing,1,0.619995695,-3.667616224,-3.890235901
training,2,0.452740303,-3.335703502,-3.716439724
validating,2,0.19815222,-3.473474884,-3.519593
testing,2,0.218250307,-3.235403275,-3.501818895
training,3,0.165927138,-3.107516704,-3.20886898
validating,3,0.095536733,-3.380258226,-3.148614883
testing,3,0.113016558,-3.047447872,-3.170868397
training,4,0.107591836,-2.995136172,-2.986268282
validating,4,0.085512066,-3.418710232,-3.143064976
testing,4,0.087261251,-3.010878634,-3.228806019
training,5,0.09900095,-2.99901557,-2.973300934
validating,5,0.091432166,-3.43502717,-2.993424892
testing,5,0.083456564,-3.012173796,-3.242893934
training,6,0.101048285,-3.008575623,-3.031592131
validating,6,0.083390021,-3.440752125,-3.094070196
testing,6,0.08372117,-3.005226326,-3.11549902
training,7,0.096798509,-2.994851862,-3.025509834
validating,7,0.085014153,-3.441664314,-3.056712151
testing,7,0.081798989,-3.005955148,-3.21155858
training,8,0.094933177,-2.999250194,-2.999020338
validating,8,0.084351003,-3.443948603,-3.031062841
testing,8,0.080813226,-3.004187679,-3.168986797
training,9,0.094897307,-2.995475258,-2.996057749
validating,9,0.079977596,-3.440757847,-2.982828617
testing,9,0.080568576,-3.001273656,-3.132977486
training,10,0.092501306,-2.993396814,-2.958263159
validating,10,0.084732699,-3.423672438,-3.111893415
testing,10,0.078742531,-3.005831409,-3.226931095
training,11,0.093059994,-2.98883278,-2.993075609
validating,11,0.076170254,-3.417810154,-3.087465763
testing,11,0.079102257,-3.001110029,-3.199325085
training,12,0.090313623,-2.992532771,-2.968815565
validating,12,0.081668735,-3.429379082,-2.997575998
testing,12,0.077224636,-3.001956964,-3.271734953
training,13,0.089550668,-2.989916658,-3.009916306
validating,13,0.078774846,-3.375460863,-3.07737112
testing,13,0.076225239,-3.004801846,-3.192275524
training,14,0.090031803,-2.986298173,-2.983444214
validating,14,0.076035821,-3.354248905,-3.154036283
testing,14,0.075779098,-3.004785037,-3.111371279
training,15,0.088205918,-2.980708803,-2.978530884
validating,15,0.074603331,-3.372510004,-3.14261198
testing,15,0.07418271,-3.00115726,-3.048726082
training,16,0.08482501,-2.980613136,-2.958855867
validating,16,0.071281898,-3.356025505,-3.100563765
testing,16,0.07321645,-2.999601316,-3.204074383
training,17,0.084806648,-2.973498133,-3.00185132
validating,17,0.068704534,-3.360885429,-3.038566828
testing,17,0.07338644,-2.999393845,-3.166039705
training,18,0.084308514,-2.973370538,-2.947354794
validating,18,0.068933153,-3.312094164,-3.153427839
testing,18,0.072748509,-3.003861451,-3.14163518
training,19,0.081704292,-2.978449965,-3.015817404
validating,19,0.065858233,-3.333994913,-2.992176771
testing,19,0.072005132,-2.998550057,-3.184809208
mode, epoch, average loss, defender utility,
training,-1,0.119543259,-2.564592556,-2.376176596
validating,-1,0.15943664,-2.713053942,-2.527737856
testing,-1,0.151406527,-2.762630081,-2.490213871
training,0,1.057277354,-3.156892034,-2.943416357
validating,0,1.034218788,-3.208931065,-2.984469652
testing,0,1.013979995,-3.20567615,-2.874256134
training,1,1.052333919,-3.15577255,-2.973619938
validating,1,1.015883756,-3.203965759,-2.946228504
testing,1,0.99571172,-3.201178765,-2.780717134
training,2,0.933232548,-3.125433459,-2.922510862
validating,2,0.762736583,-3.127539968,-2.799709797
testing,2,0.744136333,-3.137595797,-2.855604649
training,3,0.459933785,-2.921659483,-2.679156065
validating,3,0.311379388,-2.856209278,-2.470407486
testing,3,0.287809521,-2.956165195,-2.527238607
training,4,0.171839499,-2.694433914,-2.423115253
validating,4,0.252196446,-3.077562523,-2.437323332
testing,4,0.203767723,-3.072303128,-2.478191853
training,5,0.150116948,-2.666344331,-2.34245348
validating,5,0.251136765,-3.191355896,-2.528113127
testing,5,0.200193816,-3.094755721,-2.558495522
training,6,0.148449693,-2.624267357,-2.388476372
validating,6,0.249035117,-3.257290316,-2.444986343
testing,6,0.197944862,-3.236714411,-2.471074104
training,7,0.146905209,-2.608414681,-2.365970135
validating,7,0.244915161,-3.268819237,-2.344350338
testing,7,0.195588952,-3.075170827,-2.467219591
training,8,0.14550661,-2.61502013,-2.367720366
validating,8,0.24373236,-2.982125854,-2.42120719
testing,8,0.193905681,-3.07124896,-2.581126213
training,9,0.144641981,-2.594625166,-2.381045341
validating,9,0.240818164,-3.315382385,-2.417195797
testing,9,0.192221028,-3.056532717,-2.525599241
training,10,0.1437269,-2.579758619,-2.363296509
validating,10,0.239668187,-3.28181777,-2.565189838
testing,10,0.190990275,-3.051938939,-2.492303133
training,11,0.143041424,-2.563209316,-2.380575895
validating,11,0.238362333,-3.211750698,-2.571324825
testing,11,0.189933622,-3.049075031,-2.534109116
training,12,0.142732817,-2.600161781,-2.350649118
validating,12,0.236686876,-3.148370838,-2.641047239
testing,12,0.189014089,-3.041129804,-2.53911376
training,13,0.142130897,-2.651805891,-2.424189091
validating,13,0.236973646,-3.152862501,-2.447306871
testing,13,0.188414681,-3.043553162,-2.628230572
training,14,0.141674665,-2.607469274,-2.375290155
validating,14,0.234948459,-3.139891434,-2.472435713
testing,14,0.187712842,-3.032310414,-2.522385836
training,15,0.141621584,-2.566223965,-2.310336351
validating,15,0.232609561,-3.510129261,-2.608894825
testing,15,0.187276924,-2.942883658,-2.509732723
training,16,0.141796258,-2.598232222,-2.435676813
validating,16,0.232710907,-3.139291763,-2.61886692
testing,16,0.186711133,-2.945355654,-2.411987543
training,17,0.141466199,-2.598457173,-2.35498929
validating,17,0.232327411,-3.144382763,-2.56208849
testing,17,0.18634361,-2.943351054,-2.502095699
training,18,0.140976088,-2.5533126,-2.325325251
validating,18,0.231553414,-3.187608814,-2.408221006
testing,18,0.185860306,-2.942848825,-2.637208462
training,19,0.140859384,-2.5454537,-2.331283569
validating,19,0.231277946,-3.519939184,-2.500236511
testing,19,0.185585964,-2.942093587,-2.513802052
mode, epoch, average loss, defender utility,
training,-1,0.084761324,-2.427095198,-1.507657886
validating,-1,0.082998033,-2.48850885,-1.472254515
testing,-1,0.086907188,-1.709537989,-1.340433955
training,0,1.340976824,-3.111057711,-1.808577895
validating,0,1.357993531,-3.105622625,-1.982479453
testing,0,1.390756834,-3.086601973,-1.988933802
training,1,1.31232655,-3.100983674,-1.871912718
validating,1,1.221599936,-3.060960913,-1.84667933
testing,1,1.252249753,-3.023059034,-1.921475649
training,2,0.804839665,-2.795653129,-1.717691302
validating,2,0.391581008,-2.420329583,-1.544552922
testing,2,0.412930679,-2.136048901,-1.596285105
training,3,0.343276857,-2.577041706,-1.599733233
validating,3,0.242676736,-2.396206892,-1.514462829
testing,3,0.258576687,-1.868069232,-1.390597105
training,4,0.25284338,-2.541890345,-1.619057059
validating,4,0.176333641,-2.437023211,-1.353138208
testing,4,0.208707823,-1.865165988,-1.471453071
training,5,0.198023871,-2.513310649,-1.592165232
validating,5,0.143921417,-2.490189743,-1.408070087
testing,5,0.178417548,-1.8676568,-1.384779215
training,6,0.166957614,-2.507922045,-1.530294418
validating,6,0.122099419,-2.509299856,-1.312931776
testing,6,0.153593419,-1.867042571,-1.53087461
training,7,0.139828717,-2.544459581,-1.51426053
validating,7,0.111159796,-2.522814888,-1.282180309
