Epoch, 5
Random seed, 0, forward time, 679.3899548053741, qp time, 1179.8820362091064, backward_time, 538.1007850170135
forward time,0,0,135.22012066841125,135.4483082294464,135.62116599082947,136.3997004032135,136.7006595134735
qp time,0,0,235.6233081817627,234.20935010910034,235.6863307952881,236.91309690475464,237.44995021820068
backward time,0,0,106.846444606781,107.32019352912903,107.8585524559021,107.75138640403748,108.32420802116394
