Epoch, 6
Random seed, 0, forward time, 3.1962661743164062, qp time, 0, backward_time, 4.892847776412964
forward time,0,0,0.5308520793914795,0.5234670639038086,0.5376083850860596,0.5385632514953613,0.5338051319122314,0.5319702625274658
qp time,0,0,0,0,0,0,0,0
backward time,0,0,0.8750436305999756,0.8078231811523438,0.7903518676757812,0.8027889728546143,0.8119423389434814,0.8048977851867676
