Epoch, 6
Random seed, 0, forward time, 1276.5545167922974, qp time, 3669.3694224357605, backward_time, 1207.2476077079773
forward time,0,0,210.94435667991638,212.77697038650513,213.6012041568756,212.59163856506348,213.24691772460938,213.3934292793274
qp time,0,0,589.3827712535858,615.8271279335022,619.642915725708,614.4325699806213,617.0949931144714,612.9890444278717
backward time,0,0,194.4835798740387,202.3892502784729,203.34152722358704,201.3963725566864,202.97463274002075,202.6622450351715
