n,two-stage,decision-focused,surrogate
20,12.78834604,65.70634143,69.28174352
30,25.66825298,148.22958459,167.04081150
40,40.88993336,218.37660979,267.86262370
50,74.15836554,410.16736296,474.12955045
60,106.19575468,615.75708077,691.79340948
80,173.68845268,1026.39831570,1168.16402724
100,268.30363726,1779.10284131,1709.88132508
