Random seed, 39, training time, 1402.8806564807892, optimization time, 0
Random seed, 12, training time, 1726.5070912837982, optimization time, 0
Random seed, 26, training time, 1819.1380622386932, optimization time, 0
Random seed, 9, training time, 1939.7743511199951, optimization time, 0
Random seed, 16, training time, 2013.7875680923462, optimization time, 0
Random seed, 1, training time, 2066.435750246048, optimization time, 0
Random seed, 28, training time, 2006.6427593231201, optimization time, 0
Random seed, 7, training time, 2088.6413469314575, optimization time, 0
Random seed, 19, training time, 2081.9184346199036, optimization time, 0
Random seed, 24, training time, 2174.47860956192, optimization time, 0
Random seed, 17, training time, 2173.4406893253326, optimization time, 0
Random seed, 34, training time, 2216.5678985118866, optimization time, 0
Random seed, 13, training time, 2200.4887187480927, optimization time, 0
Random seed, 32, training time, 2273.9823813438416, optimization time, 0
Random seed, 10, training time, 2269.6275765895844, optimization time, 0
Random seed, 46, training time, 2234.3099999427795, optimization time, 0
Random seed, 36, training time, 2310.8678908348083, optimization time, 0
Random seed, 43, training time, 2277.478125810623, optimization time, 0
Random seed, 47, training time, 2251.6616685390472, optimization time, 0
Random seed, 20, training time, 2370.189537525177, optimization time, 0
Random seed, 23, training time, 2389.990257501602, optimization time, 0
Random seed, 48, training time, 2318.611596107483, optimization time, 0
Random seed, 5, training time, 2495.1765520572662, optimization time, 0
Random seed, 37, training time, 2413.091763973236, optimization time, 0
Random seed, 6, training time, 2502.361631631851, optimization time, 0
Random seed, 27, training time, 2511.4272232055664, optimization time, 0
Random seed, 50, training time, 2394.1272768974304, optimization time, 0
Random seed, 2, training time, 2555.7762389183044, optimization time, 0
Random seed, 38, training time, 2588.1419208049774, optimization time, 0
Random seed, 30, training time, 2537.8861396312714, optimization time, 0
Random seed, 14, training time, 2611.517976999283, optimization time, 0
Random seed, 25, training time, 2638.518486022949, optimization time, 0
Random seed, 8, training time, 2776.4596197605133, optimization time, 0
Random seed, 41, training time, 2773.3336584568024, optimization time, 0
Random seed, 31, training time, 2787.042526960373, optimization time, 0
Random seed, 40, training time, 2774.619695663452, optimization time, 0
Random seed, 3, training time, 2794.97469997406, optimization time, 0
Random seed, 44, training time, 2779.3066947460175, optimization time, 0
Random seed, 11, training time, 2861.9450976848602, optimization time, 0
Random seed, 35, training time, 2859.2417747974396, optimization time, 0
Random seed, 45, training time, 2829.982650279999, optimization time, 0
Random seed, 18, training time, 2967.2776052951813, optimization time, 0
Random seed, 4, training time, 2996.791155576706, optimization time, 0
Random seed, 21, training time, 3108.599058866501, optimization time, 0
Random seed, 49, training time, 2989.611847639084, optimization time, 0
Random seed, 29, training time, 3217.78395819664, optimization time, 0
Random seed, 42, training time, 3132.9592509269714, optimization time, 0
Random seed, 33, training time, 3235.6531262397766, optimization time, 0
Random seed, 15, training time, 3264.369257926941, optimization time, 0
Random seed, 22, training time, 3746.9626367092133, optimization time, 0
