Random seed, 39, training time, 1526.098882675171, optimization time, 0
Random seed, 12, training time, 1633.2561540603638, optimization time, 0
Random seed, 28, training time, 1878.9406037330627, optimization time, 0
Random seed, 1, training time, 2132.0648725032806, optimization time, 0
Random seed, 19, training time, 2038.8606278896332, optimization time, 0
Random seed, 26, training time, 2178.7258491516113, optimization time, 0
Random seed, 9, training time, 2189.444343328476, optimization time, 0
Random seed, 7, training time, 2156.9752418994904, optimization time, 0
Random seed, 17, training time, 2149.5355126857758, optimization time, 0
Random seed, 16, training time, 2212.8099048137665, optimization time, 0
Random seed, 24, training time, 2208.4701850414276, optimization time, 0
Random seed, 5, training time, 2273.3455822467804, optimization time, 0
Random seed, 37, training time, 2223.3177320957184, optimization time, 0
Random seed, 30, training time, 2270.0678975582123, optimization time, 0
Random seed, 47, training time, 2308.016652584076, optimization time, 0
Random seed, 43, training time, 2375.5178306102753, optimization time, 0
Random seed, 13, training time, 2340.4377858638763, optimization time, 0
Random seed, 34, training time, 2351.3001635074615, optimization time, 0
Random seed, 46, training time, 2452.9205396175385, optimization time, 0
Random seed, 20, training time, 2390.0959191322327, optimization time, 0
Random seed, 2, training time, 2456.061045885086, optimization time, 0
Random seed, 6, training time, 2478.627423286438, optimization time, 0
Random seed, 36, training time, 2431.5943043231964, optimization time, 0
Random seed, 48, training time, 2428.6732149124146, optimization time, 0
Random seed, 23, training time, 2495.314617395401, optimization time, 0
Random seed, 35, training time, 2568.866946220398, optimization time, 0
Random seed, 27, training time, 2599.863858938217, optimization time, 0
Random seed, 50, training time, 2598.490015745163, optimization time, 0
Random seed, 14, training time, 2657.871280193329, optimization time, 0
Random seed, 31, training time, 2705.7190442085266, optimization time, 0
Random seed, 38, training time, 2736.37140083313, optimization time, 0
Random seed, 3, training time, 2770.3338747024536, optimization time, 0
Random seed, 10, training time, 2919.0616371631622, optimization time, 0
Random seed, 18, training time, 2824.827823638916, optimization time, 0
Random seed, 8, training time, 2895.360370874405, optimization time, 0
Random seed, 40, training time, 2875.9215383529663, optimization time, 0
Random seed, 25, training time, 2835.0218012332916, optimization time, 0
Random seed, 4, training time, 2917.3999032974243, optimization time, 0
Random seed, 41, training time, 2881.4040224552155, optimization time, 0
Random seed, 44, training time, 2871.9604485034943, optimization time, 0
Random seed, 29, training time, 3038.3530864715576, optimization time, 0
Random seed, 21, training time, 3097.095712184906, optimization time, 0
Random seed, 42, training time, 3042.0263481140137, optimization time, 0
Random seed, 45, training time, 3034.2778453826904, optimization time, 0
Random seed, 32, training time, 3222.6434037685394, optimization time, 0
Random seed, 33, training time, 3187.449020385742, optimization time, 0
Random seed, 11, training time, 3175.7079939842224, optimization time, 0
Random seed, 49, training time, 3224.194224834442, optimization time, 0
Random seed, 15, training time, 3203.670650243759, optimization time, 0
Random seed, 22, training time, 4149.810638427734, optimization time, 0
